LAT,LON,Total_Rn2200100
-32.8,-35.05,2.8864e-09
-32.7,-35.1,2.8864e-09
-32.7,-35.05,2.8864e-09
-32.7,-35.0,2.8864e-09
-32.65,-35.15,2.8864e-09
-32.65,-35.1,5.7728e-09
-32.65,-35.05,2.8864e-09
-32.6,-35.15,5.7728e-09
-32.6,-35.1,2.8864e-09
-32.6,-35.05,2.8864e-09
-32.55,-35.2,2.8864e-09
-32.55,-35.15,2.8864e-09
-32.5,-35.25,5.7728e-09
-32.5,-35.2,5.7728e-09
-32.5,-35.1,5.7728e-09
-32.45,-35.3,8.659200000000001e-09
-32.45,-35.25,8.659200000000001e-09
-32.45,-35.15,5.7728e-09
-32.45,-35.1,2.8864e-09
-32.45,-35.05,2.8864e-09
-32.4,-35.4,2.8864e-09
-32.4,-35.35,5.7728e-09
-32.4,-35.3,5.7728e-09
-32.4,-35.2,5.7728e-09
-32.4,-35.15,2.8864e-09
-32.4,-35.1,5.7728e-09
-32.35,-35.45,2.8864e-09
-32.35,-35.4,5.7728e-09
-32.35,-35.35,5.7728e-09
-32.35,-35.25,5.7728e-09
-32.35,-35.2,2.8864e-09
-32.35,-35.15,2.8864e-09
-32.3,-35.55,2.8864e-09
-32.3,-35.45,2.8864e-09
-32.3,-35.4,8.9216e-09
-32.3,-35.35,2.8864e-09
-32.3,-35.25,2.8864e-09
-32.3,-35.2,2.8864e-09
-32.25,-35.65,2.8864e-09
-32.25,-35.6,5.7728e-09
-32.25,-35.55,2.8864e-09
-32.25,-35.5,2.8864e-09
-32.25,-35.45,5.7728e-09
-32.25,-35.4,2.8864e-09
-32.25,-35.35,5.7728e-09
-32.25,-35.3,5.7728e-09
-32.2,-35.7,2.8864e-09
-32.2,-35.6,2.8864e-09
-32.2,-35.5,2.8864e-09
-32.2,-35.45,2.8864e-09
-32.2,-35.35,5.7728e-09
-32.2,-35.1,3.1487999999999997e-09
-32.15,-35.75,2.8864e-09
-32.15,-35.7,2.8864e-09
-32.15,-35.65,2.8864e-09
-32.15,-35.55,5.7728e-09
-32.15,-35.5,5.7728e-09
-32.15,-35.45,2.8864e-09
-32.15,-35.35,2.8864e-09
-32.15,-35.25,2.8864e-09
-32.15,-35.15,3.1487999999999997e-09
-32.15,-35.1,3.1487999999999997e-09
-32.1,-35.65,8.9216e-09
-32.1,-35.6,5.7728e-09
-32.1,-35.55,2.8864e-09
-32.1,-35.5,2.8864e-09
-32.1,-35.4,2.8864e-09
-32.1,-35.15,3.1487999999999997e-09
-32.05,-35.75,2.8864e-09
-32.05,-35.7,5.7728e-09
-32.05,-35.65,8.659200000000001e-09
-32.05,-35.6,5.7728e-09
-32.05,-35.55,8.9216e-09
-32.05,-35.5,2.8864e-09
-32.05,-35.45,5.7728e-09
-32.05,-35.3,3.1487999999999997e-09
-32.05,-35.2,6.2975999999999994e-09
-32.05,-35.15,2.8864e-09
-32.0,-35.95,2.8864e-09
-32.0,-35.8,2.8864e-09
-32.0,-35.6,5.7728e-09
-32.0,-35.55,8.9216e-09
-32.0,-35.5,2.8864e-09
-32.0,-35.45,3.1487999999999997e-09
-32.0,-35.25,2.8864e-09
-32.0,-35.2,6.2975999999999994e-09
-31.95,-36.05,2.8864e-09
-31.95,-35.9,5.7728e-09
-31.95,-35.85,2.8864e-09
-31.95,-35.8,5.7728e-09
-31.95,-35.75,5.7728e-09
-31.95,-35.65,5.7728e-09
-31.95,-35.6,1.2070399999999998e-08
-31.95,-35.3,3.1487999999999997e-09
-31.95,-35.2,3.1487999999999997e-09
-31.9,-36.1,2.8864e-09
-31.9,-35.95,2.8864e-09
-31.9,-35.7,1.1808e-08
-31.9,-35.65,2.8864e-09
-31.9,-35.6,2.8864e-09
-31.9,-35.55,2.8864e-09
-31.9,-35.35,6.2975999999999994e-09
-31.9,-35.3,9.7088e-09
-31.85,-45.6,2.8864e-09
-31.85,-36.1,5.7728e-09
-31.85,-36.05,2.8864e-09
-31.85,-35.85,2.8864e-09
