LAT,LON,Total_Rn2200100_Sum
-32.8,-35.05,1.7231808e-08
-32.7,-35.1,1.7231808e-08
-32.7,-35.05,1.7231808e-08
-32.7,-35.0,1.7231808e-08
-32.65,-35.15,1.7231808e-08
-32.65,-35.1,3.4463616e-08
-32.65,-35.05,1.7231808e-08
-32.6,-35.15,3.4463616e-08
-32.6,-35.1,1.7231808e-08
-32.6,-35.05,1.7231808e-08
-32.55,-35.2,1.7231808e-08
-32.55,-35.15,1.7231808e-08
-32.5,-35.25,3.4463616e-08
-32.5,-35.2,3.4463616e-08
-32.5,-35.1,3.4463616e-08
-32.45,-35.3,5.1695424000000003e-08
-32.45,-35.25,5.1695424000000003e-08
-32.45,-35.15,3.4463616e-08
-32.45,-35.1,1.7231808e-08
-32.45,-35.05,1.7231808e-08
-32.4,-35.4,1.7231808e-08
-32.4,-35.35,3.4463616e-08
-32.4,-35.3,3.4463616e-08
-32.4,-35.2,3.4463616e-08
-32.4,-35.15,1.7231808e-08
-32.4,-35.1,3.4463616e-08
-32.35,-35.45,1.7231808e-08
-32.35,-35.4,3.4463616e-08
-32.35,-35.35,3.4463616e-08
-32.35,-35.25,3.4463616e-08
-32.35,-35.2,1.7231808e-08
-32.35,-35.15,1.7231808e-08
-32.3,-35.55,1.7231808e-08
-32.3,-35.45,1.7231808e-08
-32.3,-35.4,5.3261952e-08
-32.3,-35.35,1.7231808e-08
-32.3,-35.25,1.7231808e-08
-32.3,-35.2,1.7231808e-08
-32.25,-35.65,1.7231808e-08
-32.25,-35.6,3.4463616e-08
-32.25,-35.55,1.7231808e-08
-32.25,-35.5,1.7231808e-08
-32.25,-35.45,3.4463616e-08
-32.25,-35.4,1.7231808e-08
-32.25,-35.35,3.4463616e-08
-32.25,-35.3,3.4463616e-08
-32.2,-35.7,1.7231808e-08
-32.2,-35.6,1.7231808e-08
-32.2,-35.5,1.7231808e-08
-32.2,-35.45,1.7231808e-08
-32.2,-35.35,3.4463616e-08
-32.2,-35.1,1.8798336e-08
-32.15,-35.75,1.7231808e-08
-32.15,-35.7,1.7231808e-08
-32.15,-35.65,1.7231808e-08
-32.15,-35.55,3.4463616e-08
-32.15,-35.5,3.4463616e-08
-32.15,-35.45,1.7231808e-08
-32.15,-35.35,1.7231808e-08
-32.15,-35.25,1.7231808e-08
-32.15,-35.15,1.8798336e-08
-32.15,-35.1,1.8798336e-08
