LAT,LON,Total_Rn2200100
18.8,86.3,3.08784816e-07
18.85,86.05,1.54392408e-07
18.85,86.2,1.54392408e-07
18.85,86.25,3.08784816e-07
18.9,86.0,3.08784816e-07
18.9,86.05,1.54392408e-07
18.9,86.15,1.54392408e-07
18.9,86.2,1.54392408e-07
18.9,86.3,1.54392408e-07
18.95,85.75,1.54392408e-07
18.95,85.95,3.08784816e-07
18.95,86.0,1.54392408e-07
18.95,86.05,1.7154712e-07
18.95,86.1,3.08784816e-07
18.95,86.25,3.08784816e-07
18.95,86.3,1.54392408e-07
19.0,85.7,1.54392408e-07
19.0,85.75,1.54392408e-07
19.0,85.9,4.7175458e-07
19.0,85.95,1.54392408e-07
19.0,86.0,3.4309424e-07
19.0,86.05,4.7175458e-07
19.0,86.2,6.26146988e-07
19.0,86.25,4.63177224e-07
19.0,86.3,1.54392408e-07
19.0,86.35,3.08784816e-07
19.0,86.4,3.08784816e-07
19.05,85.65,1.54392408e-07
19.05,85.7,1.54392408e-07
19.05,85.8,1.54392408e-07
19.05,85.85,4.7175458e-07
19.05,85.9,1.54392408e-07
19.05,85.95,4.974866480000001e-07
19.05,86.0,9.4350916e-07
19.05,86.05,1.54392408e-07
19.05,86.1,1.54392408e-07
19.05,86.15,7.805393960000001e-07
19.05,86.2,6.26146988e-07
19.05,86.25,1.54392408e-07
19.05,86.3,3.08784816e-07
19.05,86.35,1.54392408e-07
19.05,86.4,1.54392408e-07
19.05,86.45,3.08784816e-07
19.05,86.55,1.54392408e-07
19.1,85.6,1.54392408e-07
19.1,85.65,1.54392408e-07
19.1,85.75,4.7175458e-07
19.1,85.8,6.26146988e-07
19.1,85.85,1.54392408e-07
19.1,85.9,6.51879056e-07
19.1,85.95,1.02928272e-06
19.1,86.0,1.7154712e-07
19.1,86.05,4.80331936e-07
19.1,86.1,7.805393960000001e-07
19.1,86.15,7.805393960000001e-07
19.1,86.2,3.25939528e-07
19.1,86.25,6.26146988e-07
19.1,86.3,3.08784816e-07
19.1,86.35,4.7175458e-07
19.1,86.45,1.54392408e-07
19.1,86.5,1.54392408e-07
19.1,86.55,1.54392408e-07
19.15,85.6,3.17362172e-07
19.15,85.7,4.7175458e-07
19.15,85.75,6.8618848e-07
19.15,85.8,1.54392408e-07
19.15,85.85,8.1484882e-07
19.15,85.9,1.11505628e-06
19.15,85.95,4.80331936e-07
19.15,86.0,4.80331936e-07
19.15,86.05,7.805393960000001e-07
19.15,86.1,6.26146988e-07
19.15,86.15,8.23426176e-07
19.15,86.2,7.805393960000001e-07
19.15,86.25,6.433017e-07
19.15,86.3,6.26146988e-07
19.2,85.55,3.17362172e-07
19.2,85.65,4.7175458e-07
19.2,85.7,6.69033768e-07
19.2,85.75,1.54392408e-07
19.2,85.8,8.1484882e-07
19.2,85.85,9.4350916e-07
19.2,85.9,4.80331936e-07
19.2,85.95,6.51879056e-07
19.2,86.0,1.11505628e-06
19.2,86.05,7.805393960000001e-07
19.2,86.1,1.4581505200000002e-06
19.2,86.15,1.11505628e-06
19.2,86.2,1.4581505200000002e-06
19.2,86.25,9.4350916e-07
19.2,86.35,3.08784816e-07
19.2,86.4,3.08784816e-07
19.2,86.45,1.7154712e-07
19.2,86.5,1.7154712e-07
19.25,85.5,3.4309424e-07
19.25,85.6,4.7175458e-07
19.25,85.65,7.03343192e-07
19.25,85.7,5.1464136e-07
19.25,85.75,1.54392408e-07
19.25,85.8,8.1484882e-07
19.25,85.85,6.69033768e-07
19.25,85.9,6.51879056e-07
19.25,85.95,2.23011256e-06
19.25,86.0,8.577356e-07
19.25,86.05,1.4581505200000002e-06
19.25,86.1,1.80124476e-06
19.25,86.15,1.62969764e-06
19.25,86.2,1.2866034e-06
19.25,86.25,3.25939528e-07
19.25,86.3,4.80331936e-07
19.25,86.35,6.26146988e-07
19.25,86.4,3.25939528e-07
19.25,86.45,6.69033768e-07
19.25,86.5,1.7154712e-07
19.3,85.45,1.8870183200000002e-07
19.3,85.55,5.06064004e-07
19.3,85.6,6.8618848e-07
19.3,85.65,3.7740366400000003e-07
19.3,85.7,3.6024895199999997e-07
19.3,85.75,3.17362172e-07
19.3,85.8,1.37237696e-06
19.3,85.85,1.02928272e-06
19.3,85.9,1.5439240799999998e-06
19.3,85.95,1.7154712e-06
19.3,86.0,1.80124476e-06
19.3,86.05,2.31588612e-06
19.3,86.1,2.05856544e-06
19.3,86.15,1.4581505200000002e-06
19.3,86.2,6.433017e-07
19.3,86.25,7.976941079999999e-07
19.3,86.3,4.7175458e-07
19.3,86.35,1.7154712e-07
19.3,86.4,9.4350916e-07
19.3,86.45,1.54392408e-07
19.35,85.4,1.8870183200000002e-07
19.35,85.45,1.8870183200000002e-07
19.35,85.5,1.7154712e-07
19.35,85.55,4.974866480000001e-07
19.35,85.6,5.66105496e-07
19.35,85.65,1.8870183200000002e-07
19.35,85.7,9.4350916e-07
19.35,85.75,1.37237696e-06
19.35,85.8,1.02928272e-06
19.35,85.85,1.88701832e-06
19.35,85.9,2.144339e-06
19.35,85.95,1.80124476e-06
19.35,86.0,2.31588612e-06
19.35,86.05,2.40165968e-06
19.35,86.1,1.4581505200000002e-06
19.35,86.15,9.4350916e-07
19.35,86.2,1.2866034e-06
19.35,86.25,3.08784816e-07
19.35,86.3,4.80331936e-07
19.35,86.35,1.11505628e-06
19.35,86.4,1.54392408e-07
19.4,85.4,1.8870183200000002e-07
19.4,85.45,5.31796072e-07
19.4,85.5,9.4350916e-07
19.4,85.55,5.66105496e-07
19.4,85.6,1.8870183200000002e-07
19.4,85.65,5.66105496e-07
19.4,85.7,1.02928272e-06
19.4,85.75,1.20082984e-06
19.4,85.8,1.88701832e-06
19.4,85.85,2.5732068e-06
19.4,85.9,2.23011256e-06
19.4,85.95,2.9163010400000003e-06
19.4,86.0,3.68826308e-06
19.4,86.05,1.9727918799999998e-06
19.4,86.1,1.80124476e-06
19.4,86.15,1.20082984e-06
19.4,86.2,7.805393960000001e-07
19.4,86.25,9.4350916e-07
19.4,86.3,1.4581505200000002e-06
19.4,86.35,3.25939528e-07
19.4,86.65,3.08784816e-07
19.45,85.35,1.8870183200000002e-07
19.45,85.4,1.7154712e-07
19.45,85.45,3.7740366400000003e-07
19.45,85.5,7.37652616e-07
19.45,85.55,1.8870183200000002e-07
19.45,85.6,9.4350916e-07
19.45,85.65,1.11505628e-06
19.45,85.7,1.62969764e-06
19.45,85.75,1.37237696e-06
19.45,85.8,2.83052748e-06
19.45,85.85,2.144339e-06
19.45,85.9,3.4309424e-06
19.45,85.95,3.8598102e-06
19.45,86.0,2.144339e-06
19.45,86.05,2.05856544e-06
19.45,86.1,1.2866034e-06
19.45,86.15,1.11505628e-06
19.45,86.2,1.2866034e-06
19.45,86.25,1.80124476e-06
19.45,86.3,6.51879056e-07
19.45,86.4,1.7154712e-07
19.45,86.45,1.7154712e-07
19.45,86.55,1.54392408e-07
19.45,86.6,1.54392408e-07
19.5,85.4,7.290752600000001e-07
19.5,85.45,7.204979039999999e-07
19.5,85.5,3.7740366400000003e-07
19.5,85.55,1.11505628e-06
19.5,85.6,1.7154712e-06
19.5,85.65,2.144339e-06
19.5,85.7,8.577356e-07
19.5,85.75,2.83052748e-06
19.5,85.8,2.40165968e-06
19.5,85.85,4.20290444e-06
19.5,85.9,4.288678e-06
19.5,85.95,2.05856544e-06
19.5,86.0,1.88701832e-06
19.5,86.05,1.20082984e-06
19.5,86.1,1.80124476e-06
19.5,86.15,1.62969764e-06
19.5,86.2,1.80124476e-06
19.5,86.25,1.11505628e-06
19.5,86.35,3.4309424e-07
19.5,86.4,1.7154712e-07
19.5,86.5,1.54392408e-07
19.5,86.55,1.54392408e-07
19.55,85.35,3.4309424e-07
19.55,85.4,7.976941079999999e-07
19.55,85.45,5.66105496e-07
19.55,85.5,1.11505628e-06
19.55,85.55,1.88701832e-06
19.55,85.6,1.5439240799999998e-06
