LAT,LON,Total_Rn2200100
-7.85,-40.8,2.5347127422e-06
-7.8,-40.6,2.5347127422e-06
-7.75,-40.5,2.5347127422e-06
-7.7,-40.75,5.0694254844e-06
-7.7,-40.7,2.5347127422e-06
-7.7,-40.6,5.0694254844e-06
-7.65,-41.1,2.5347127422e-06
-7.65,-40.7,2.5347127422e-06
-7.65,-40.65,8.004356028e-06
-7.65,-40.5,5.0694254844e-06
-7.6,-42.5,2.1344949408e-06
-7.6,-40.9,2.5347127422e-06
-7.6,-40.8,8.004356028e-06
-7.6,-40.75,5.0694254844e-06
-7.6,-40.65,2.5347127422e-06
-7.6,-40.6,5.469643285800001e-06
-7.6,-40.55,2.5347127422e-06
-7.55,-41.25,2.5347127422e-06
-7.55,-41.2,2.5347127422e-06
-7.55,-41.15,5.0694254844e-06
-7.55,-40.95,2.5347127422e-06
-7.55,-40.85,7.3373263590000005e-06
-7.55,-40.7,8.004356028e-06
-7.55,-40.65,7.3373263590000005e-06
-7.55,-40.6,5.1361284513e-06
-7.55,-40.5,2.9349305436e-06
-7.5,-42.5,2.1344949408e-06
-7.5,-42.45,2.1344949408e-06
-7.5,-42.4,4.202286914700001e-06
-7.5,-42.35,4.202286914700001e-06
-7.5,-41.2,7.3373263590000005e-06
-7.5,-41.15,2.5347127422e-06
-7.5,-41.1,2.5347127422e-06
-7.5,-40.95,2.5347127422e-06
-7.5,-40.9,2.5347127422e-06
-7.5,-40.85,2.5347127422e-06
-7.5,-40.8,2.9349305436e-06
-7.5,-40.75,2.5347127422e-06
-7.5,-40.7,1.0672474704000001e-05
-7.5,-40.65,5.469643285800001e-06
-7.5,-40.6,2.9349305436e-06
-7.45,-42.55,2.1344949408e-06
-7.45,-42.45,6.3367818555e-06
-7.45,-42.4,4.202286914700001e-06
-7.45,-42.35,4.202286914700001e-06
-7.45,-41.25,2.5347127422e-06
-7.45,-41.2,1.334059338e-05
-7.45,-41.15,1.2673563711e-05
-7.45,-41.1,5.0694254844e-06
-7.45,-40.95,2.5347127422e-06
-7.45,-40.85,2.5347127422e-06
-7.45,-40.8,5.1361284513e-06
-7.45,-40.75,2.9349305436e-06
-7.45,-40.7,2.5347127422e-06
-7.4,-42.55,4.202286914700001e-06
-7.4,-42.5,2.1344949408e-06
-7.4,-42.45,8.671385697e-06
-7.4,-42.4,1.5341682387e-05
-7.4,-42.35,4.2689898816e-06
-7.4,-42.3,4.2689898816e-06
-7.4,-41.2,2.3346038415e-05
-7.4,-41.15,2.8682275767000002e-05
-7.4,-41.1,8.004356028e-06
-7.4,-41.05,2.5347127422e-06
-7.4,-40.95,2.5347127422e-06
-7.4,-40.9,5.1361284513e-06
-7.4,-40.85,2.5347127422e-06
-7.4,-40.8,1.1339504373000001e-05
-7.4,-40.75,2.5347127422e-06
-7.4,-40.65,8.671385697e-06
-7.4,-40.6,5.803158120300001e-06
-7.4,-40.25,9.338415366000002e-06
-7.4,-40.2,6.3367818555e-06
-7.4,-40.15,6.3367818555e-06
-7.4,-40.1,3.1350394443000004e-06
-7.35,-42.55,2.1344949408e-06
-7.35,-42.5,6.3367818555e-06
-7.35,-42.45,1.0672474704000001e-05
-7.35,-42.4,8.671385697e-06
-7.35,-42.35,2.6014157091e-05
-7.35,-42.3,1.0672474704000001e-05
-7.35,-42.25,4.2689898816e-06
-7.35,-42.2,2.1344949408e-06
-7.35,-41.3,5.4029403189e-06
-7.35,-41.25,1.0005445035000002e-05
-7.35,-41.2,2.668118676e-05
-7.35,-41.15,8.004356028e-06
-7.35,-41.1,2.5347127422e-06
-7.35,-41.0,2.5347127422e-06
-7.35,-40.9,8.671385697e-06
-7.35,-40.85,1.6675741725e-05
-7.35,-40.8,8.004356028e-06
-7.35,-40.75,1.6008712056e-05
-7.35,-40.7,1.4007623049000001e-05
-7.35,-40.65,8.671385697e-06
-7.35,-40.3,1.9343860401000004e-05
-7.35,-40.25,1.9343860401000004e-05
-7.35,-40.2,1.6008712056e-05
-7.35,-40.15,3.1350394443000004e-06
-7.3,-42.5,8.671385697e-06
-7.3,-42.45,1.1339504373000001e-05
-7.3,-42.4,1.9343860401000004e-05
-7.3,-42.35,1.0672474704000001e-05
-7.3,-42.3,8.671385697e-06
-7.3,-42.25,4.2689898816e-06
-7.3,-41.3,8.004356028e-06
-7.3,-41.25,5.4029403189e-06
-7.3,-41.2,1.5341682387e-05
-7.3,-41.15,1.5341682387e-05
-7.3,-41.1,2.5347127422e-06
-7.3,-40.95,5.1361284513e-06
-7.3,-40.9,1.7342771394e-05
-7.3,-40.85,2.0010890070000003e-05
-7.3,-40.8,1.0672474704000001e-05
-7.3,-40.75,2.7348216429e-05
-7.3,-40.7,5.8698610872e-06
-7.3,-40.65,8.671385697e-06
-7.3,-40.4,9.338415366000002e-06
-7.3,-40.35,3.2017424112e-06
-7.3,-40.3,2.2679008746000002e-05
