LAT,LON,Total_Rn2200010
-22.4,-48.4,-12.31832378436376
-22.4,-48.35,-13.431973950396408
-22.35,-48.5,-13.431973950396408
-22.35,-48.4,-11.499135882908448
-22.35,-48.35,-13.431973950396408
-22.3,-48.45,-13.431973950396408
-22.3,-48.4,-12.034380034022584
-22.3,-48.35,-12.31832378436376
-22.25,-48.5,-13.431973950396408
-22.25,-48.45,-12.738826769836464
-22.25,-48.4,-11.655481953299143
-22.25,-48.35,-12.31832378436376
-22.25,-48.3,-13.431973950396408
-22.25,-48.25,-13.431973950396408
-22.2,-48.5,-12.716353913984404
-22.2,-48.45,-11.625176603803814
-22.2,-48.4,-11.447842588520897
-22.2,-48.35,-11.43542006852234
-22.2,-48.3,-13.431973950396408
-22.15,-48.95,-12.9120984911105
-22.15,-48.55,-13.431973950396408
-22.15,-48.5,-12.738826769836464
-22.15,-48.45,-13.431973950396408
-22.15,-48.4,-11.423149975930526
-22.15,-48.35,-11.143119050214265
-22.1,-49.05,-12.9120984911105
-22.1,-49.0,-12.218951310550555
-22.1,-48.5,-12.034380034022584
-22.1,-48.45,-11.479591286835477
-22.1,-48.4,-11.239812675016736
-22.1,-48.35,-11.175908873037256
-22.1,-48.3,-13.304140578886525
-22.1,-48.25,-13.304140578886525
-22.05,-49.0,-12.9120984911105
-22.05,-48.95,-12.218951310550555
-22.05,-48.9,-12.9120984911105
-22.05,-48.85,-12.9120984911105
-22.05,-48.55,-13.431973950396408
-22.05,-48.5,-12.034380034022584
-22.05,-48.45,-11.417070929854145
-22.05,-48.4,-11.58137398114542
-22.05,-48.35,-11.291907786900138
-22.05,-48.3,-12.61099339832658
-22.05,-47.2,-12.218951310550555
-22.05,-47.15,-12.9120984911105
-22.0,-49.05,-11.822536037962308
-22.0,-49.0,-12.218951310550555
-22.0,-48.95,-11.166430129082713
-22.0,-48.9,-12.9120984911105
-22.0,-48.55,-13.431973950396408
-22.0,-48.5,-11.025848178461523
-22.0,-48.45,-10.962334772739197
-22.0,-48.4,-10.454590815510615
-22.0,-48.35,-10.506859244056372
-22.0,-48.3,-11.52580412999061
-22.0,-48.25,-13.304140578886525
-22.0,-48.1,-12.9120984911105
-22.0,-48.05,-12.9120984911105
-22.0,-47.4,-12.9120984911105
-22.0,-47.25,-12.218951310550555
-22.0,-47.2,-12.9120984911105
-21.95,-49.15,-12.9120984911105
-21.95,-49.1,-12.9120984911105
-21.95,-49.05,-12.9120984911105
-21.95,-49.0,-11.180682151789913
-21.95,-48.95,-11.195140234965143
-21.95,-48.9,-12.738826769836464
-21.95,-48.85,-13.431973950396408
-21.95,-48.8,-12.651815392846833
-21.95,-48.6,-13.431973950396408
-21.95,-48.55,-11.813486202442391
-21.95,-48.5,-10.920897582875023
-21.95,-48.45,-10.954671899993627
-21.95,-48.4,-10.973940318859505
-21.95,-48.35,-10.582845151034293
-21.95,-48.3,-11.710832048382308
-21.95,-48.25,-13.264919865733242
-21.95,-48.2,-11.795628585042383
