LAT,LON,Total_Rn2200100
17.65,84.3,-15.578407855891298
17.7,84.3,-14.49660268553957
17.7,84.4,-15.578407855891298
17.75,84.4,-14.447005744400197
17.8,84.05,-14.885260675331352
17.8,84.3,-14.49660268553957
17.8,84.35,-15.578407855891298
17.8,84.4,-14.399752859549652
17.85,84.05,-14.204692276978268
17.85,84.15,-14.767477639674969
17.85,84.2,-14.885260675331352
17.85,84.25,-14.885260675331352
17.85,84.3,-14.204692276978268
17.85,84.35,-14.885260675331352
17.85,84.4,-14.399752859549652
17.9,84.05,-14.910578483315643
17.9,84.15,-14.447005744400197
17.9,84.2,-14.885260675331352
17.9,84.25,-14.885260675331352
17.9,84.3,-13.786648386663243
17.9,84.35,-15.578407855891298
17.9,84.4,-13.563504835349033
17.9,84.5,-15.578407855891298
17.9,84.65,-15.578407855891298
17.9,84.7,-15.578407855891298
17.95,84.0,-15.578407855891298
17.95,84.05,-13.9790202793107
17.95,84.15,-14.885260675331352
17.95,84.2,-14.885260675331352
17.95,84.25,-14.204692276978268
17.95,84.3,-13.968969943457196
17.95,84.35,-15.578407855891298
17.95,84.4,-13.498966314211462
17.95,84.45,-15.578407855891298
17.95,84.5,-14.885260675331352
17.95,84.7,-15.578407855891298
17.95,85.4,-15.578407855891298
18.0,84.05,-13.632497706835984
18.0,84.1,-14.745498732956193
18.0,84.15,-13.438341692395026
18.0,84.2,-13.786648386663243
18.0,84.25,-13.786648386663243
18.0,84.3,-13.786648386663243
18.0,84.35,-14.167420882181036
18.0,84.4,-13.381183278555078
18.0,84.45,-14.49660268553957
18.0,84.5,-14.885260675331352
18.0,84.7,-15.578407855891298
18.0,84.75,-15.578407855891298
18.05,84.0,-15.578407855891298
18.05,84.05,-13.632497706835984
18.05,84.1,-14.384485387418863
18.05,84.15,-13.438341692395026
18.05,84.2,-13.9790202793107
18.05,84.25,-13.9790202793107
18.05,84.3,-13.438341692395026
18.05,84.35,-14.11979283319178
18.05,84.4,-13.563504835349033
18.05,84.45,-13.786648386663243
18.05,84.5,-13.786648386663243
18.05,84.55,-14.745498732956193
18.05,85.45,-14.885260675331352
18.1,84.0,-15.578407855891298
18.1,84.05,-13.632497706835984
18.1,84.1,-14.096803314967081
18.1,84.15,-13.327116057284803
18.1,84.2,-14.15529952164869
18.1,84.25,-14.885260675331352
18.1,84.3,-13.052679211583042
18.1,84.35,-13.275822762897251
18.1,84.4,-13.563504835349033
18.1,84.45,-13.22703259872782
18.1,84.5,-13.786648386663243
18.1,84.55,-13.873659763652872
18.1,84.75,-15.578407855891298
18.1,84.8,-15.578407855891298
18.1,85.45,-15.578407855891298
18.15,83.55,-15.740926785389073
18.15,84.05,-13.632497706835984
18.15,84.1,-13.873659763652872
18.15,84.15,-13.093501206103298
18.15,84.2,-13.563504835349033
18.15,84.25,-13.563504835349033
18.15,84.3,-12.487365402532982
18.15,84.35,-13.093501206103298
18.15,84.4,-12.775047474984763
18.15,84.45,-13.563504835349033
18.15,84.5,-12.688036097995132
18.15,84.55,-13.563504835349033
18.15,84.75,-15.578407855891298
18.2,83.5,-15.740926785389073
18.2,83.55,-15.740926785389073
18.2,84.0,-15.578407855891298
18.2,84.05,-13.381183278555078
18.2,84.1,-14.085503759713148
18.2,84.15,-13.01731206774575
18.2,84.2,-13.136060820522093
18.2,84.25,-13.22703259872782
18.2,84.3,-12.442913639962148
18.2,84.35,-12.939350526276039
18.2,84.4,-12.716206974961828
18.2,84.45,-14.34003362484803
18.2,84.5,-12.74519451183508
18.2,84.55,-13.275822762897251
18.2,84.6,-14.11979283319178
18.2,84.65,-14.767477639674969
18.2,84.75,-14.812940013751726
18.2,84.85,-15.578407855891298
18.2,85.25,-15.578407855891298
18.2,85.4,-15.578407855891298
18.2,85.45,-15.578407855891298
18.2,85.5,-15.578407855891298
18.25,83.5,-15.740926785389073
18.25,84.05,-13.275822762897251
18.25,84.1,-13.873659763652872
18.25,84.15,-13.180512583092927
18.25,84.2,-12.904259206464769
18.25,84.25,-12.837567831966096
18.25,84.3,-12.716206974961828
18.25,84.35,-12.464892546680924
18.25,84.4,-12.379734738340616
18.25,84.45,-12.939350526276039
18.25,84.5,-12.975718170446914
18.25,84.55,-12.939350526276039
18.25,84.6,-13.438341692395026
18.25,84.65,-14.384485387418863
18.25,84.75,-14.131488872954971
18.25,84.8,-14.885260675331352
18.25,84.85,-15.578407855891298
18.25,84.9,-15.578407855891298
18.25,85.0,-15.578407855891298
18.25,85.05,-14.767477639674969
18.25,85.1,-15.483097676086972
18.25,85.25,-14.49660268553957
18.25,85.4,-14.885260675331352
18.25,85.5,-14.885260675331352
18.3,83.45,-15.740926785389073
18.3,84.05,-14.479795567223189
18.3,84.1,-13.280835304720796
18.3,84.15,-13.180512583092927
18.3,84.2,-12.359532031023097
18.3,84.25,-12.716206974961828
