LAT,LON,Total_Rn2200100
-25.35,-47.55,2.695875e-08
-25.3,-47.55,2.695875e-08
-25.25,-47.55,2.695875e-08
-25.25,-47.5,5.39175e-08
-25.2,-47.55,2.695875e-08
-25.2,-47.5,8.087625000000001e-08
-25.2,-47.45,5.39175e-08
-25.15,-47.6,2.695875e-08
-25.15,-47.55,2.695875e-08
-25.15,-47.5,5.39175e-08
-25.15,-47.45,2.695875e-08
-25.15,-47.4,2.9526249999999996e-08
-25.15,-47.1,3.0809999999999996e-08
-25.1,-47.7,2.695875e-08
-25.1,-47.5,8.087625000000001e-08
-25.1,-47.4,8.98625e-08
-25.1,-47.1,6.161999999999999e-08
-25.05,-47.55,2.695875e-08
-25.05,-47.5,1.07835e-07
-25.05,-47.45,2.695875e-08
-25.05,-47.4,6.033625e-08
-25.05,-47.1,6.033625e-08
-25.0,-47.7,1.0655125e-07
-25.0,-47.6,2.695875e-08
-25.0,-47.55,5.39175e-08
-25.0,-47.5,5.39175e-08
-25.0,-47.45,8.087625000000001e-08
-25.0,-47.4,2.9526249999999996e-08
-25.0,-47.35,5.39175e-08
-25.0,-47.25,2.695875e-08
-24.95,-47.8,2.695875e-08
-24.95,-47.7,8.087625000000001e-08
-24.95,-47.6,2.695875e-08
-24.95,-47.5,2.9526249999999996e-08
-24.95,-47.45,1.07835e-07
-24.95,-47.4,2.695875e-08
-24.95,-47.35,2.695875e-08
-24.95,-47.3,2.9526249999999996e-08
-24.95,-47.25,5.6485e-08
-24.95,-47.15,2.9526249999999996e-08
-24.95,-47.1,6.033625e-08
-24.95,-47.0,2.695875e-08
-24.95,-46.85,2.695875e-08
-24.9,-47.55,5.39175e-08
-24.9,-47.5,2.695875e-08
-24.9,-47.45,2.695875e-08
-24.9,-47.35,8.087625000000001e-08
-24.9,-47.3,2.9526249999999996e-08
-24.9,-47.25,8.47275e-08
-24.9,-47.1,9.114625e-08
-24.85,-47.7,2.695875e-08
-24.85,-47.65,2.695875e-08
-24.85,-47.6,2.695875e-08
-24.85,-47.55,8.087625000000001e-08
-24.85,-47.5,8.087625000000001e-08
-24.85,-47.45,1.9256250000000001e-07
-24.85,-47.4,1.1425375e-07
-24.85,-47.35,5.39175e-08
-24.85,-47.3,6.033625e-08
-24.85,-47.25,2.5675e-07
-24.85,-47.2,6.033625e-08
-24.85,-47.15,2.9526249999999996e-08
-24.85,-47.1,2.9526249999999996e-08
-24.85,-47.0,2.695875e-08
-24.85,-46.8,2.695875e-08
-24.8,-47.65,2.695875e-08
-24.8,-47.55,5.6485e-08
-24.8,-47.5,5.776875e-08
-24.8,-47.45,1.1168625e-07
-24.8,-47.4,8.7295e-08
-24.8,-47.35,1.07835e-07
-24.8,-47.3,6.033625e-08
-24.8,-47.25,2.5675e-07
-24.8,-47.2,2.9526249999999996e-08
-24.8,-47.0,2.695875e-08
-24.8,-46.9,5.39175e-08
-24.75,-47.8,2.695875e-08
-24.75,-47.65,2.695875e-08
-24.75,-47.6,2.695875e-08
-24.75,-47.55,2.695875e-08
-24.75,-47.5,2.695875e-08
-24.75,-47.45,1.1425375e-07
-24.75,-47.4,5.6485e-08
-24.75,-47.35,5.6485e-08
-24.75,-47.3,3.0809999999999996e-08
-24.75,-47.25,1.79725e-07
-24.75,-47.2,1.79725e-07
-24.75,-47.15,2.695875e-08
-24.75,-47.1,6.161999999999999e-08
-24.75,-47.05,2.9526249999999996e-08
-24.75,-47.0,2.695875e-08
-24.75,-46.9,2.695875e-08
-24.75,-46.85,3.0809999999999996e-08
-24.75,-46.8,6.161999999999999e-08
-24.75,-46.75,5.776875e-08
-24.75,-46.7,5.776875e-08
-24.7,-47.8,8.087625000000001e-08
-24.7,-47.65,5.39175e-08
-24.7,-47.6,2.9526249999999996e-08
-24.7,-47.55,8.857875e-08
-24.7,-47.5,2.054e-07
-24.7,-47.45,2.695875e-08
-24.7,-47.4,1.412125e-07
-24.7,-47.35,1.1425375e-07
-24.7,-47.3,9.114625e-08
-24.7,-47.25,2.054e-07
-24.7,-47.2,1.79725e-07
-24.7,-47.15,6.033625e-08
-24.7,-47.1,2.9526249999999996e-08
-24.7,-47.05,5.905249999999999e-08
-24.7,-47.0,2.695875e-08
-24.7,-46.9,5.776875e-08
-24.7,-46.85,6.161999999999999e-08
-24.7,-46.8,2.695875e-08
-24.7,-46.75,5.776875e-08
-24.7,-46.7,5.263375e-08
-24.65,-47.8,5.39175e-08
-24.65,-47.7,2.695875e-08
-24.65,-47.65,2.695875e-08
-24.65,-47.6,1.412125e-07
-24.65,-47.55,1.412125e-07
-24.65,-47.5,2.82425e-07
-24.65,-47.45,5.776875e-08
-24.65,-47.4,1.1425375e-07
-24.65,-47.35,1.668875e-07
-24.65,-47.3,2.31075e-07
-24.65,-47.25,8.857875e-08
-24.65,-47.2,2.054e-07
-24.65,-47.15,1.206725e-07
-24.65,-47.1,9.243e-08
-24.65,-47.05,1.4249625e-07
-24.65,-47.0,8.857875e-08
-24.65,-46.95,2.695875e-08
-24.65,-46.9,5.263375e-08
-24.65,-46.85,1.3736125000000002e-07
-24.65,-46.8,2.695875e-08
-24.65,-46.65,6.161999999999999e-08
-24.6,-47.8,2.695875e-08
-24.6,-47.7,2.695875e-08
-24.6,-47.65,8.087625000000001e-08
-24.6,-47.6,8.344375e-08
-24.6,-47.55,1.668875e-07
-24.6,-47.5,1.412125e-07
-24.6,-47.45,1.9256250000000001e-07
-24.6,-47.4,1.668875e-07
-24.6,-47.35,5.776875e-08
-24.6,-47.3,2.054e-07
-24.6,-47.25,1.2195625e-07
-24.6,-47.2,3.23505e-07
-24.6,-47.15,5.648499999999999e-08
-24.6,-47.1,8.857875e-08
-24.6,-47.05,2.695875e-08
-24.6,-47.0,5.776875e-08
-24.6,-46.95,2.695875e-08
-24.6,-46.9,8.729499999999999e-08
-24.6,-46.85,1.9256250000000001e-07
-24.6,-46.8,2.695875e-08
-24.6,-46.75,2.695875e-08
-24.6,-46.7,1.2323999999999998e-07
-24.6,-46.6,3.0809999999999996e-08
-24.55,-47.65,8.47275e-08
-24.55,-47.6,1.1297e-07
-24.55,-47.55,1.0911875e-07
-24.55,-47.5,1.07835e-07
-24.55,-47.45,5.776875e-08
-24.55,-47.4,2.054e-07
-24.55,-47.35,1.412125e-07
-24.55,-47.3,1.5404999999999998e-07
-24.55,-47.25,2.5803375000000004e-07
-24.55,-47.2,1.104025e-07
-24.55,-47.15,2.9526249999999996e-08
-24.55,-47.1,2.0283249999999999e-07
-24.55,-47.05,1.771575e-07
-24.55,-47.0,1.9256250000000001e-07
-24.55,-46.9,1.1425375e-07
-24.55,-46.85,7.95925e-08
-24.55,-46.8,3.0809999999999996e-08
-24.55,-46.75,1.2195625e-07
-24.55,-46.7,1.2195625e-07
-24.55,-46.65,1.2323999999999998e-07
-24.55,-46.6,9.243e-08
-24.55,-46.55,9.243e-08
-24.55,-46.5,6.161999999999999e-08
-24.5,-47.75,2.695875e-08
-24.5,-47.7,5.6485e-08
-24.5,-47.65,8.216e-08
-24.5,-47.6,8.7295e-08
-24.5,-47.55,8.216e-08
-24.5,-47.5,1.412125e-07
-24.5,-47.45,8.087625000000001e-08
-24.5,-47.4,1.155375e-07
-24.5,-47.35,3.0809999999999996e-08
-24.5,-47.3,1.5404999999999998e-07
-24.5,-47.25,2.849925e-07
-24.5,-47.2,2.054e-07
-24.5,-47.15,8.47275e-08
-24.5,-47.1,1.9898125e-07
-24.5,-47.05,2.0411624999999998e-07
-24.5,-47.0,2.3621000000000002e-07
-24.5,-46.95,1.668875e-07
-24.5,-46.9,6.161999999999999e-08
-24.5,-46.85,2.0283249999999999e-07
-24.5,-46.8,1.5404999999999998e-07
-24.5,-46.75,9.243e-08
-24.5,-46.7,1.2195625e-07
-24.5,-46.65,1.2323999999999998e-07
