LAT,LON,Total_Rn2200100
34.3,-106.75,2.345256e-09
34.3,-106.7,4.690512e-09
34.3,-106.65,1.172628e-09
34.3,-106.6,2.345256e-09
34.3,-106.55,1.172628e-09
34.3,-106.5,1.172628e-09
34.35,-106.75,5.6286144e-09
34.35,-106.7,7.035768e-09
34.35,-106.65,4.690512e-09
34.35,-106.6,1.172628e-09
34.35,-106.55,2.345256e-09
34.4,-107.0,1.172628e-09
34.4,-106.9,1.172628e-09
34.4,-106.85,1.172628e-09
34.4,-106.8,2.345256e-09
34.4,-106.75,7.035768e-09
34.4,-106.7,7.035768e-09
34.4,-106.65,2.345256e-09
34.4,-106.6,3.517884e-09
34.4,-106.55,2.345256e-09
34.45,-106.95,3.517884e-09
34.45,-106.9,2.345256e-09
34.45,-106.85,3.517884e-09
34.45,-106.8,7.973870400000001e-09
34.45,-106.75,1.172628e-08
34.45,-106.7,5.6286144e-09
34.45,-106.65,2.345256e-09
34.45,-106.6,7.035768e-09
34.5,-107.15,1.26643824e-09
34.5,-107.1,4.690512e-09
34.5,-107.05,2.345256e-09
34.5,-107.0,3.517884e-09
34.5,-106.95,3.517884e-09
34.5,-106.9,7.035768e-09
34.5,-106.85,4.690512e-09
34.5,-106.8,9.381024e-09
34.5,-106.75,1.2664382400000001e-08
34.5,-106.7,4.690512e-09
34.5,-106.65,5.6286144e-09
34.55,-107.15,5.1595632e-09
34.55,-107.1,2.345256e-09
34.55,-107.05,2.345256e-09
34.55,-107.0,6.0976656e-09
34.55,-106.95,9.381024e-09
34.55,-106.9,9.381024e-09
34.55,-106.85,1.4071536e-08
34.55,-106.8,1.3133433600000002e-08
34.55,-106.75,9.381024e-09
34.55,-106.7,7.035768e-09
34.55,-106.65,3.517884e-09
34.6,-107.2,7.5048192e-09
34.6,-107.15,3.517884e-09
34.6,-107.1,4.690512e-09
34.6,-107.05,1.172628e-08
34.6,-107.0,1.3133433600000002e-08
34.6,-106.95,1.6416792e-08
34.6,-106.9,1.78239456e-08
34.6,-106.85,2.1107304000000003e-08
34.6,-106.8,1.8762048e-08
34.6,-106.75,1.5478689600000003e-08
34.6,-106.7,7.035768e-09
34.6,-106.65,2.345256e-09
34.65,-107.25,7.5048192e-09
34.65,-107.2,6.0976656e-09
34.65,-107.15,7.5048192e-09
34.65,-107.1,1.4071536e-08
34.65,-107.05,1.6416792e-08
34.65,-107.0,1.6416792e-08
34.65,-106.95,2.8143072e-08
34.65,-106.9,3.0488328e-08
34.65,-106.85,2.5797816e-08
34.65,-106.8,1.6416792e-08
34.65,-106.75,9.381024e-09
34.65,-106.7,1.172628e-09
34.7,-107.4,1.31334336e-09
34.7,-107.35,1.31334336e-09
34.7,-107.3,6.566716800000001e-09
34.7,-107.25,7.5048192e-09
34.7,-107.2,1.0788177599999999e-08
34.7,-107.15,2.13418296e-08
34.7,-107.1,2.7204969599999998e-08
34.7,-107.05,2.13418296e-08
34.7,-107.0,2.48597136e-08
34.7,-106.95,3.1660956e-08
34.7,-106.9,3.8696724000000004e-08
34.7,-106.85,2.7204969599999998e-08
34.7,-106.8,8.208396e-09
34.7,-106.75,4.690512e-09
34.7,-106.35,9.8500752e-10
34.7,-106.3,1.97001504e-09
34.75,-107.4,8.9119728e-09
34.75,-107.35,8.9119728e-09
34.75,-107.3,1.172628e-08
34.75,-107.25,2.345256e-08
34.75,-107.2,2.60323416e-08
34.75,-107.15,3.0957379200000006e-08
34.75,-107.1,2.7204969599999998e-08
34.75,-107.05,3.18954816e-08
34.75,-107.0,4.127650560000001e-08
34.75,-106.95,4.38562872e-08
34.75,-106.9,3.8931249600000006e-08
34.75,-106.85,1.5478689600000003e-08
34.75,-106.8,1.19608056e-08
34.75,-106.75,7.035768e-09
34.75,-106.7,1.172628e-09
34.75,-106.35,2.9081174400000003e-09
34.75,-106.3,1.97001504e-09
34.8,-107.5,2.5797816e-09
34.8,-107.45,8.9119728e-09
34.8,-107.4,1.03191264e-08
34.8,-107.35,1.12572288e-08
34.8,-107.3,2.7674020800000004e-08
34.8,-107.25,3.311501472e-08
34.8,-107.2,4.03384032e-08
34.8,-107.15,4.362176160000001e-08
34.8,-107.1,4.73741712e-08
34.8,-107.05,4.362176160000001e-08
34.8,-107.0,6.47290656e-08
34.8,-106.95,3.7524096e-08
34.8,-106.9,2.3921611200000003e-08
