LAT,LON,Total_Rn2200100_Sum
30.8,-105.3,6.160518460800001e-09
30.85,-105.4,1.2321036921600002e-08
30.85,-105.3,1.2321036921600002e-08
30.9,-105.4,1.84815553824e-08
30.9,-105.3,1.2321036921600002e-08
30.95,-105.4,1.2321036921600002e-08
30.95,-105.3,1.2321036921600002e-08
30.95,-104.85,6.160518460800001e-09
31.0,-105.4,1.2321036921600002e-08
31.0,-105.35,6.160518460800001e-09
31.0,-105.3,6.160518460800001e-09
31.0,-105.15,6.160518460800001e-09
31.0,-105.0,2.4642073843200004e-08
31.0,-104.9,1.2321036921600002e-08
31.0,-104.85,1.2321036921600002e-08
31.0,-104.7,6.160518460800001e-09
31.05,-105.4,1.03608719568e-08
31.05,-105.2,1.84815553824e-08
31.05,-105.1,1.2321036921600002e-08
31.05,-105.05,1.2321036921600002e-08
31.05,-105.0,3.0802592304e-08
31.05,-104.95,6.160518460800001e-09
31.05,-104.9,6.160518460800001e-09
31.05,-104.85,6.160518460800001e-09
31.05,-104.75,1.84815553824e-08
31.1,-105.4,1.03608719568e-08
31.1,-105.35,1.03608719568e-08
31.1,-105.2,2.4642073843200004e-08
31.1,-105.15,6.160518460800001e-09
31.1,-105.1,6.160518460800001e-09
31.1,-105.05,3.0802592304e-08
31.1,-105.0,1.2321036921600002e-08
31.1,-104.95,6.160518460800001e-09
31.1,-104.9,6.160518460800001e-09
31.1,-104.8,6.160518460800001e-09
31.1,-104.75,6.160518460800001e-09
31.1,-104.7,6.160518460800001e-09
31.1,-104.65,6.160518460800001e-09
31.1,-104.6,1.2321036921600002e-08
31.1,-104.55,6.160518460800001e-09
31.15,-105.4,5.0404241951999995e-09
31.15,-105.35,1.03608719568e-08
31.15,-105.25,6.160518460800001e-09
31.15,-105.2,1.84815553824e-08
31.15,-105.15,1.2321036921600002e-08
31.15,-105.1,1.84815553824e-08
31.15,-105.05,1.84815553824e-08
31.15,-105.0,6.160518460800001e-09
31.15,-104.9,1.2321036921600002e-08
31.15,-104.8,1.2321036921600002e-08
31.15,-104.7,6.160518460800001e-09
31.15,-104.65,6.160518460800001e-09
31.2,-105.45,5.0404241951999995e-09
31.2,-105.35,5.0404241951999995e-09
31.2,-105.25,2.4642073843200004e-08
31.2,-105.2,1.84815553824e-08
31.2,-105.15,1.2321036921600002e-08
31.2,-105.1,1.2321036921600002e-08
31.2,-105.05,2.2681908878399998e-08
31.2,-104.95,2.35219795776e-08
31.2,-104.85,6.160518460800001e-09
31.2,-104.8,6.160518460800001e-09
31.2,-104.75,6.160518460800001e-09
31.2,-104.7,6.160518460800001e-09
31.2,-104.65,1.2321036921600002e-08
31.25,-105.55,1.84815553824e-08
31.25,-105.45,5.3204477616e-09
31.25,-105.35,1.03608719568e-08
31.25,-105.25,3.0802592304e-08
31.25,-105.2,1.84815553824e-08
31.25,-105.1,3.0802592304e-08
31.25,-105.05,5.0404241951999995e-09
31.25,-105.0,1.2321036921600002e-08
31.25,-104.95,1.6521390417600003e-08
31.25,-104.85,1.03608719568e-08
31.25,-104.75,1.73614611168e-08
31.25,-104.7,5.0404241951999995e-09
31.3,-105.55,1.84815553824e-08
31.3,-105.45,1.03608719568e-08
31.3,-105.35,5.3204477616e-09
31.3,-105.25,2.8002356640000002e-08
31.3,-105.2,1.14809662224e-08
31.3,-105.15,2.3802003143999996e-08
31.3,-105.1,1.6521390417600003e-08
31.3,-105.0,6.160518460800001e-09
31.3,-104.95,1.03608719568e-08
31.3,-104.85,5.0404241951999995e-09
31.3,-104.8,5.0404241951999995e-09
31.3,-104.75,1.5401296152e-08
31.35,-105.55,1.84815553824e-08
31.35,-105.45,1.03608719568e-08
31.35,-105.4,1.03608719568e-08
31.35,-105.3,4.4803770624e-08
31.35,-105.25,2.8002356640000002e-08
31.35,-105.2,2.77223330736e-08
31.35,-105.15,6.1605184608e-08
31.35,-105.1,1.14809662224e-08
31.35,-105.05,1.84815553824e-08
31.35,-105.0,1.14809662224e-08
31.35,-104.9,1.03608719568e-08
31.35,-104.85,5.3204477616e-09
31.35,-104.8,2.1841838179199997e-08
31.4,-105.65,1.84815553824e-08
31.4,-105.45,3.3602827968e-08
31.4,-105.4,1.7641484683199998e-08
31.4,-105.35,3.6403063632000004e-08
31.4,-105.3,2.07217439136e-08
31.4,-105.25,5.3204477616e-08
31.4,-105.2,3.3602827968e-08
31.4,-105.15,4.4803770624e-08
31.4,-105.05,2.3802003143999996e-08
31.4,-105.0,5.3204477616e-09
31.4,-104.9,1.56813197184e-08
31.4,-104.85,2.57621681088e-08
31.4,-104.8,6.160518460800001e-09
31.45,-105.65,1.2321036921600002e-08
31.45,-105.55,1.56813197184e-08
31.45,-105.45,1.6521390417600003e-08
31.45,-105.4,2.8002356640000002e-08
31.45,-105.35,3.0802592304e-08
31.45,-105.3,3.3602827968e-08
31.45,-105.25,1.6521390417600003e-08
31.45,-105.2,5.6004713280000004e-08
31.45,-105.15,2.8002356640000002e-08
31.45,-105.1,1.14809662224e-08
31.45,-105.05,2.2681908878399998e-08
31.45,-105.0,1.03608719568e-08
31.45,-104.95,5.3204477616e-09
31.45,-104.9,2.07217439136e-08
