YEAR  MO  DA  HR    LAT     LON Rn2200010
2013   7  14  12 -24.20  -46.55  0.35E-11
2013   7  14  12 -24.15  -46.55  0.11E-11
2013   7  14  12 -24.10  -46.55  0.11E-11
2013   7  14  12 -24.30  -46.50  0.11E-11
2013   7  14  12 -24.15  -46.50  0.26E-11
2013   7  14  12 -24.10  -46.50  0.10E-10
2013   7  14  12 -24.05  -46.50  0.38E-11
2013   7  14  12 -24.00  -46.50  0.11E-11
2013   7  14  12 -23.95  -46.50  0.12E-11
2013   7  14  12 -23.90  -46.50  0.12E-11
2013   7  14  12 -24.30  -46.45  0.11E-11
2013   7  14  12 -24.25  -46.45  0.93E-11
2013   7  14  12 -24.20  -46.45  0.73E-11
2013   7  14  12 -24.15  -46.45  0.15E-10
2013   7  14  12 -24.10  -46.45  0.15E-10
2013   7  14  12 -24.05  -46.45  0.33E-10
2013   7  14  12 -24.00  -46.45  0.53E-10
2013   7  14  12 -23.95  -46.45  0.27E-10
2013   7  14  12 -23.90  -46.45  0.79E-11
2013   7  14  12 -23.85  -46.45  0.12E-11
2013   7  14  12 -24.35  -46.40  0.13E-11
2013   7  14  12 -24.30  -46.40  0.61E-11
2013   7  14  12 -24.25  -46.40  0.18E-10
2013   7  14  12 -24.20  -46.40  0.27E-10
2013   7  14  12 -24.15  -46.40  0.37E-10
2013   7  14  12 -24.10  -46.40  0.61E-10
2013   7  14  12 -24.05  -46.40  0.12E-09
2013   7  14  12 -24.00  -46.40  0.24E-09
2013   7  14  12 -23.95  -46.40  0.44E-09
2013   7  14  12 -23.90  -46.40  0.77E-09
2013   7  14  12 -23.85  -46.40  0.10E-08
2013   7  14  12 -23.80  -46.40  0.19E-11
2013   7  14  12 -24.35  -46.35  0.23E-11
2013   7  14  12 -24.30  -46.35  0.97E-11
2013   7  14  12 -24.25  -46.35  0.37E-11
2013   7  14  12 -24.20  -46.35  0.15E-10
2013   7  14  12 -24.15  -46.35  0.39E-10
2013   7  14  12 -24.10  -46.35  0.51E-10
2013   7  14  12 -24.05  -46.35  0.61E-10
2013   7  14  12 -24.00  -46.35  0.75E-10
2013   7  14  12 -23.95  -46.35  0.45E-10
2013   7  14  12 -23.90  -46.35  0.16E-10
2013   7  14  12 -23.85  -46.35  0.27E-11
2013   7  14  12 -24.30  -46.30  0.36E-11
2013   7  14  12 -24.25  -46.30  0.47E-11
2013   7  14  12 -24.20  -46.30  0.74E-11
2013   7  14  12 -24.15  -46.30  0.95E-11
2013   7  14  12 -24.10  -46.30  0.12E-10
2013   7  14  12 -24.05  -46.30  0.74E-11
2013   7  14  12 -24.00  -46.30  0.63E-11
2013   7  14  12 -23.95  -46.30  0.14E-11
2013   7  14  12 -24.30  -46.25  0.23E-11
2013   7  14  12 -24.20  -46.25  0.23E-11
2013   7  14  12 -24.10  -46.25  0.12E-11
2013   7  14  12 -24.05  -46.25  0.23E-11
2013   7  14  12 -24.00  -46.25  0.23E-11
2013   7  15   0 -24.25  -46.55  0.23E-11
2013   7  15   0 -24.55  -46.50  0.11E-11
2013   7  15   0 -24.40  -46.50  0.24E-11
2013   7  15   0 -24.35  -46.50  0.11E-11
2013   7  15   0 -24.30  -46.50  0.25E-11
2013   7  15   0 -24.25  -46.50  0.24E-11
2013   7  15   0 -24.20  -46.50  0.24E-11
2013   7  15   0 -24.15  -46.50  0.13E-11
2013   7  15   0 -23.95  -46.50  0.14E-11
2013   7  15   0 -24.55  -46.45  0.11E-11
2013   7  15   0 -24.50  -46.45  0.22E-11
2013   7  15   0 -24.45  -46.45  0.11E-11
2013   7  15   0 -24.40  -46.45  0.22E-11
2013   7  15   0 -24.35  -46.45  0.13E-10
2013   7  15   0 -24.30  -46.45  0.13E-10
2013   7  15   0 -24.25  -46.45  0.16E-10
2013   7  15   0 -24.20  -46.45  0.12E-10
2013   7  15   0 -24.15  -46.45  0.20E-10
2013   7  15   0 -24.10  -46.45  0.41E-10
2013   7  15   0 -24.05  -46.45  0.12E-09
2013   7  15   0 -24.00  -46.45  0.57E-10
2013   7  15   0 -23.95  -46.45  0.58E-10
2013   7  15   0 -23.90  -46.45  0.42E-10
2013   7  15   0 -23.85  -46.45  0.96E-11
2013   7  15   0 -24.60  -46.40  0.11E-11
