YEAR  MO  DA  HR    LAT     LON Rn2200005
2013   7  30  12 -24.08  -46.94  0.45E+01
2013   7  30  12 -24.03  -46.94  0.22E+01
2013   7  30  12 -24.08  -46.89  0.85E+02
2013   7  30  12 -24.03  -46.89  0.14E+02
2013   7  30  12 -24.08  -46.84  0.12E+03
2013   7  30  12 -24.03  -46.84  0.83E+02
2013   7  30  12 -24.08  -46.79  0.15E+03
2013   7  30  12 -24.03  -46.79  0.19E+03
2013   7  30  12 -23.98  -46.79  0.92E+01
2013   7  30  12 -24.08  -46.74  0.65E+02
2013   7  30  12 -24.03  -46.74  0.39E+03
2013   7  30  12 -23.98  -46.74  0.10E+03
2013   7  30  12 -24.03  -46.69  0.53E+03
2013   7  30  12 -23.98  -46.69  0.28E+03
2013   7  30  12 -23.93  -46.69  0.40E+02
2013   7  30  12 -24.03  -46.64  0.15E+03
2013   7  30  12 -23.98  -46.64  0.72E+03
2013   7  30  12 -23.93  -46.64  0.22E+03
2013   7  30  12 -23.88  -46.64  0.21E+02
2013   7  30  12 -23.98  -46.59  0.66E+03
2013   7  30  12 -23.93  -46.59  0.63E+03
2013   7  30  12 -23.88  -46.59  0.20E+03
2013   7  30  12 -23.83  -46.59  0.24E+01
2013   7  30  12 -23.98  -46.54  0.81E+01
2013   7  30  12 -23.93  -46.54  0.12E+04
2013   7  30  12 -23.88  -46.54  0.60E+03
2013   7  30  12 -23.83  -46.54  0.98E+02
2013   7  30  12 -23.93  -46.49  0.41E+03
2013   7  30  12 -23.88  -46.49  0.19E+04
2013   7  30  12 -23.83  -46.49  0.46E+03
2013   7  30  12 -23.88  -46.44  0.13E+04
2013   7  30  12 -23.83  -46.44  0.15E+04
2013   7  30  12 -23.83  -46.39  0.13E+04
2013   7  31   0 -24.53  -47.74  0.10E+01
2013   7  31   0 -24.33  -47.74  0.10E+01
2013   7  31   0 -24.53  -47.69  0.21E+01
2013   7  31   0 -24.23  -47.59  0.14E+01
2013   7  31   0 -24.53  -47.54  0.16E+01
2013   7  31   0 -24.38  -47.44  0.16E+01
2013   7  31   0 -24.28  -47.44  0.38E+01
2013   7  31   0 -24.18  -47.44  0.36E+01
2013   7  31   0 -24.48  -47.39  0.17E+01
2013   7  31   0 -24.38  -47.39  0.16E+01
2013   7  31   0 -24.33  -47.39  0.16E+01
2013   7  31   0 -24.23  -47.39  0.26E+01
2013   7  31   0 -24.58  -47.34  0.10E+01
2013   7  31   0 -24.48  -47.34  0.12E+01
2013   7  31   0 -24.43  -47.34  0.17E+01
2013   7  31   0 -24.38  -47.34  0.16E+01
2013   7  31   0 -24.33  -47.34  0.12E+01
2013   7  31   0 -24.18  -47.34  0.16E+01
2013   7  31   0 -24.58  -47.29  0.12E+01
2013   7  31   0 -24.53  -47.29  0.31E+01
2013   7  31   0 -24.48  -47.29  0.13E+01
2013   7  31   0 -24.43  -47.29  0.24E+01
2013   7  31   0 -24.38  -47.29  0.31E+01
2013   7  31   0 -24.23  -47.29  0.16E+01
2013   7  31   0 -24.18  -47.29  0.25E+01
2013   7  31   0 -24.08  -47.29  0.13E+01
2013   7  31   0 -24.73  -47.24  0.16E+01
2013   7  31   0 -24.53  -47.24  0.16E+01
2013   7  31   0 -24.38  -47.24  0.12E+01
2013   7  31   0 -24.33  -47.24  0.25E+01
2013   7  31   0 -24.28  -47.24  0.16E+01
2013   7  31   0 -24.08  -47.24  0.25E+01
2013   7  31   0 -24.63  -47.19  0.12E+01
2013   7  31   0 -24.58  -47.19  0.12E+01
2013   7  31   0 -24.48  -47.19  0.16E+01
2013   7  31   0 -24.43  -47.19  0.17E+01
2013   7  31   0 -24.18  -47.19  0.25E+01
2013   7  31   0 -24.13  -47.19  0.29E+01
2013   7  31   0 -24.03  -47.19  0.13E+01
2013   7  31   0 -24.53  -47.14  0.16E+01
