YEAR  MO  DA  HR    LAT     LON Rn2200005
2010  11  14  12 -23.88  -48.99  0.46E-12
2010  11  14  12 -23.53  -48.94  0.90E-12
2010  11  14  12 -23.98  -48.89  0.90E-12
2010  11  14  12 -24.58  -48.84  0.91E-12
2010  11  14  12 -24.23  -48.84  0.91E-12
2010  11  14  12 -24.63  -48.74  0.10E-11
2010  11  14  12 -24.53  -48.74  0.76E-12
2010  11  14  12 -24.48  -48.69  0.84E-12
2010  11  14  12 -23.93  -48.69  0.46E-12
2010  11  14  12 -23.88  -48.69  0.99E-12
2010  11  14  12 -24.28  -48.64  0.92E-12
2010  11  14  12 -23.93  -48.64  0.76E-12
2010  11  14  12 -23.68  -48.64  0.46E-12
2010  11  14  12 -24.18  -48.54  0.46E-12
2010  11  14  12 -24.08  -48.54  0.46E-12
2010  11  14  12 -23.93  -48.54  0.12E-11
2010  11  14  12 -23.83  -48.54  0.83E-12
2010  11  14  12 -24.68  -48.49  0.10E-11
2010  11  14  12 -24.43  -48.49  0.83E-12
2010  11  14  12 -24.03  -48.49  0.46E-12
2010  11  14  12 -23.88  -48.49  0.84E-12
2010  11  14  12 -24.48  -48.44  0.51E-12
2010  11  14  12 -24.18  -48.44  0.10E-11
2010  11  14  12 -24.08  -48.44  0.46E-12
2010  11  14  12 -23.93  -48.44  0.46E-12
2010  11  14  12 -23.78  -48.44  0.46E-12
2010  11  14  12 -24.23  -48.39  0.46E-12
2010  11  14  12 -24.28  -48.34  0.93E-12
2010  11  14  12 -24.08  -48.34  0.51E-12
2010  11  14  12 -23.93  -48.34  0.46E-12
2010  11  14  12 -24.18  -48.29  0.93E-12
2010  11  14  12 -24.08  -48.29  0.51E-12
2010  11  14  12 -23.88  -48.29  0.46E-12
2010  11  14  12 -24.18  -48.24  0.46E-12
2010  11  14  12 -23.88  -48.24  0.50E-12
2010  11  14  12 -23.83  -48.24  0.93E-12
2010  11  14  12 -24.43  -48.19  0.83E-12
2010  11  14  12 -24.28  -48.19  0.47E-12
2010  11  14  12 -24.13  -48.19  0.97E-12
2010  11  14  12 -24.18  -48.14  0.10E-11
2010  11  14  12 -24.13  -48.14  0.13E-11
2010  11  14  12 -23.98  -48.14  0.83E-12
2010  11  14  12 -23.68  -48.14  0.10E-11
2010  11  14  12 -23.53  -48.14  0.47E-12
2010  11  14  12 -24.28  -48.09  0.51E-12
2010  11  14  12 -24.13  -48.09  0.47E-12
2010  11  14  12 -24.03  -48.09  0.47E-12
2010  11  14  12 -24.23  -48.04  0.51E-12
2010  11  14  12 -24.13  -48.04  0.47E-12
2010  11  14  12 -23.88  -48.04  0.51E-12
2010  11  14  12 -24.53  -47.99  0.85E-12
2010  11  14  12 -24.33  -47.99  0.51E-12
2010  11  14  12 -24.28  -47.99  0.98E-12
2010  11  14  12 -24.18  -47.99  0.51E-12
2010  11  14  12 -24.13  -47.99  0.46E-12
2010  11  14  12 -24.08  -47.99  0.10E-11
2010  11  14  12 -23.98  -47.99  0.51E-12
2010  11  14  12 -23.93  -47.99  0.84E-12
2010  11  14  12 -23.53  -47.99  0.47E-12
