YEAR  MO  DA  HR    LAT     LON Rn2200010
2018   2  23  12 -22.70  -47.20  0.61E-04
2018   2  23  12 -22.65  -47.20  0.23E-03
2018   2  23  12 -22.60  -47.20  0.53E-04
2018   2  23  12 -22.70  -47.15  0.17E-03
2018   2  23  12 -22.65  -47.15  0.53E-04
2018   2  23  12 -22.90  -47.10  0.60E-04
2018   2  23  12 -22.80  -47.10  0.60E-04
2018   2  23  12 -22.75  -47.10  0.24E-03
2018   2  23  12 -22.70  -47.10  0.53E-04
2018   2  23  12 -22.95  -47.05  0.60E-04
2018   2  23  12 -22.90  -47.05  0.60E-04
2018   2  23  12 -22.85  -47.05  0.60E-04
2018   2  23  12 -22.80  -47.05  0.17E-03
2018   2  23  12 -22.75  -47.05  0.41E-03
2018   2  23  12 -22.70  -47.05  0.11E-03
2018   2  23  12 -22.65  -47.05  0.53E-04
2018   2  23  12 -22.90  -47.00  0.60E-04
2018   2  23  12 -22.85  -47.00  0.30E-03
2018   2  23  12 -22.80  -47.00  0.53E-03
2018   2  23  12 -22.75  -47.00  0.11E-03
2018   2  23  12 -22.70  -47.00  0.43E-04
2018   2  23  12 -22.95  -46.95  0.12E-03
2018   2  23  12 -22.90  -46.95  0.12E-03
2018   2  23  12 -22.85  -46.95  0.29E-03
2018   2  23  12 -22.80  -46.95  0.19E-03
2018   2  23  12 -22.75  -46.95  0.43E-04
2018   2  23  12 -23.05  -46.90  0.13E-03
2018   2  23  12 -23.00  -46.90  0.16E-03
2018   2  23  12 -22.95  -46.90  0.26E-03
2018   2  23  12 -22.90  -46.90  0.16E-03
2018   2  23  12 -22.85  -46.90  0.24E-03
2018   2  23  12 -22.80  -46.90  0.43E-04
2018   2  23  12 -23.15  -46.85  0.63E-04
2018   2  23  12 -23.10  -46.85  0.63E-04
2018   2  23  12 -23.05  -46.85  0.34E-03
2018   2  23  12 -23.00  -46.85  0.26E-03
2018   2  23  12 -22.95  -46.85  0.11E-03
2018   2  23  12 -22.90  -46.85  0.14E-03
2018   2  23  12 -23.20  -46.80  0.18E-03
2018   2  23  12 -23.15  -46.80  0.11E-03
2018   2  23  12 -23.10  -46.80  0.26E-03
2018   2  23  12 -23.05  -46.80  0.53E-03
2018   2  23  12 -23.00  -46.80  0.34E-03
2018   2  23  12 -22.95  -46.80  0.23E-03
2018   2  23  12 -23.25  -46.75  0.64E-04
2018   2  23  12 -23.20  -46.75  0.25E-03
2018   2  23  12 -23.15  -46.75  0.70E-03
2018   2  23  12 -23.10  -46.75  0.40E-03
2018   2  23  12 -23.05  -46.75  0.24E-03
2018   2  23  12 -23.35  -46.70  0.13E-03
2018   2  23  12 -23.30  -46.70  0.28E-03
2018   2  23  12 -23.25  -46.70  0.86E-03
2018   2  23  12 -23.20  -46.70  0.51E-03
2018   2  23  12 -23.15  -46.70  0.35E-03
2018   2  23  12 -23.10  -46.70  0.15E-03
2018   2  23  12 -23.35  -46.65  0.81E-03
2018   2  23  12 -23.30  -46.65  0.83E-03
2018   2  23  12 -23.25  -46.65  0.64E-03
2018   2  23  12 -23.20  -46.65  0.14E-03
2018   2  23  12 -23.50  -46.60  0.17E-03
2018   2  23  12 -23.45  -46.60  0.69E-03
2018   2  23  12 -23.40  -46.60  0.12E-02
2018   2  23  12 -23.35  -46.60  0.12E-02
2018   2  23  12 -23.30  -46.60  0.25E-03
2018   2  23  12 -23.55  -46.55  0.39E-03
2018   2  23  12 -23.50  -46.55  0.17E-02
2018   2  23  12 -23.45  -46.55  0.15E-02
2018   2  23  12 -23.40  -46.55  0.46E-03
2018   2  23  12 -23.35  -46.55  0.51E-04
2018   2  23  12 -23.65  -46.50  0.83E-03
2018   2  23  12 -23.60  -46.50  0.25E-02
2018   2  23  12 -23.55  -46.50  0.21E-02
2018   2  23  12 -23.50  -46.50  0.10E-02
2018   2  23  12 -23.75  -46.45  0.17E-02
2018   2  23  12 -23.70  -46.45  0.48E-02
2018   2  23  12 -23.65  -46.45  0.40E-02
2018   2  23  12 -23.60  -46.45  0.81E-03
2018   2  23  12 -23.85  -46.40  0.54E-03
2018   2  23  12 -23.80  -46.40  0.14E-01
2018   2  23  12 -23.75  -46.40  0.71E-02
2018   2  23  12 -23.70  -46.40  0.47E-03
2018   2  23  12 -23.65  -46.40  0.66E-04
2018   2  24   0 -22.60  -48.20  0.65E-04
2018   2  24   0 -22.50  -48.20  0.54E-04
2018   2  24   0 -22.50  -48.15  0.55E-04
2018   2  24   0 -22.45  -48.15  0.54E-04
2018   2  24   0 -22.65  -48.10  0.55E-04
2018   2  24   0 -22.50  -48.10  0.54E-04
2018   2  24   0 -22.40  -48.05  0.48E-04
2018   2  24   0 -22.75  -48.00  0.75E-04
2018   2  24   0 -22.65  -48.00  0.74E-04
2018   2  24   0 -22.50  -48.00  0.75E-04
2018   2  24   0 -22.45  -48.00  0.74E-04
2018   2  24   0 -22.20  -48.00  0.48E-04
2018   2  24   0 -22.70  -47.95  0.57E-04
