YEAR  MO  DA  HR    LAT     LON Rn2200010
2022   8  31  12 -24.40  -49.35  0.21E-04
2022   8  31  12 -24.05  -49.35  0.21E-04
2022   8  31  12 -24.65  -49.30  0.21E-04
2022   8  31  12 -24.35  -49.25  0.21E-04
2022   8  31  12 -24.15  -49.25  0.21E-04
2022   8  31  12 -24.05  -49.20  0.24E-04
2022   8  31  12 -23.65  -49.20  0.21E-04
2022   8  31  12 -24.10  -49.15  0.23E-04
2022   8  31  12 -23.75  -49.15  0.43E-04
2022   8  31  12 -24.45  -49.10  0.24E-04
2022   8  31  12 -24.15  -49.10  0.23E-04
2022   8  31  12 -24.10  -49.10  0.21E-04
2022   8  31  12 -24.00  -49.10  0.43E-04
2022   8  31  12 -23.95  -49.10  0.21E-04
2022   8  31  12 -23.80  -49.10  0.45E-04
2022   8  31  12 -23.70  -49.10  0.22E-04
2022   8  31  12 -24.60  -49.05  0.24E-04
2022   8  31  12 -24.15  -49.05  0.22E-04
2022   8  31  12 -24.05  -49.05  0.23E-04
2022   8  31  12 -24.00  -49.05  0.21E-04
2022   8  31  12 -23.85  -49.05  0.22E-04
2022   8  31  12 -23.70  -49.05  0.22E-04
2022   8  31  12 -24.10  -49.00  0.24E-04
2022   8  31  12 -24.05  -49.00  0.21E-04
2022   8  31  12 -24.25  -48.95  0.24E-04
2022   8  31  12 -24.05  -48.95  0.47E-04
2022   8  31  12 -23.95  -48.95  0.24E-04
2022   8  31  12 -23.90  -48.95  0.21E-04
2022   8  31  12 -23.85  -48.95  0.22E-04
2022   8  31  12 -24.35  -48.90  0.24E-04
2022   8  31  12 -24.30  -48.90  0.24E-04
2022   8  31  12 -24.00  -48.90  0.45E-04
2022   8  31  12 -23.90  -48.90  0.22E-04
2022   8  31  12 -23.85  -48.90  0.24E-04
2022   8  31  12 -23.65  -48.90  0.24E-04
2022   8  31  12 -23.60  -48.90  0.23E-04
2022   8  31  12 -23.45  -48.90  0.21E-04
2022   8  31  12 -24.80  -48.85  0.24E-04
2022   8  31  12 -24.35  -48.85  0.24E-04
2022   8  31  12 -24.10  -48.85  0.47E-04
2022   8  31  12 -24.05  -48.85  0.47E-04
2022   8  31  12 -23.85  -48.85  0.24E-04
2022   8  31  12 -23.70  -48.85  0.22E-04
2022   8  31  12 -24.65  -48.80  0.24E-04
2022   8  31  12 -24.25  -48.80  0.24E-04
2022   8  31  12 -24.20  -48.80  0.24E-04
2022   8  31  12 -24.15  -48.80  0.24E-04
2022   8  31  12 -23.90  -48.80  0.24E-04
2022   8  31  12 -23.85  -48.80  0.45E-04
2022   8  31  12 -24.50  -48.75  0.24E-04
2022   8  31  12 -24.40  -48.75  0.45E-04
2022   8  31  12 -24.15  -48.75  0.48E-04
2022   8  31  12 -23.95  -48.75  0.47E-04
2022   8  31  12 -23.90  -48.75  0.45E-04
2022   8  31  12 -23.85  -48.75  0.24E-04
2022   8  31  12 -24.45  -48.70  0.48E-04
2022   8  31  12 -24.30  -48.70  0.24E-04
2022   8  31  12 -24.15  -48.70  0.24E-04
2022   8  31  12 -24.10  -48.70  0.24E-04
2022   8  31  12 -24.00  -48.70  0.24E-04
2022   8  31  12 -24.35  -48.65  0.48E-04
2022   8  31  12 -24.00  -48.65  0.24E-04
2022   8  31  12 -23.95  -48.65  0.48E-04
2022   8  31  12 -24.25  -48.60  0.24E-04
2022   8  31  12 -24.15  -48.60  0.48E-04
2022   8  31  12 -24.10  -48.60  0.24E-04
2022   8  31  12 -23.95  -48.60  0.48E-04
2022   8  31  12 -23.90  -48.60  0.22E-04
2022   8  31  12 -23.85  -48.60  0.46E-04
2022   8  31  12 -23.50  -48.60  0.22E-04
2022   8  31  12 -23.45  -48.60  0.22E-04
2022   8  31  12 -24.30  -48.55  0.24E-04
2022   8  31  12 -24.20  -48.55  0.22E-04
2022   8  31  12 -24.15  -48.55  0.24E-04
2022   8  31  12 -24.05  -48.55  0.24E-04
2022   8  31  12 -24.00  -48.55  0.24E-04
2022   8  31  12 -23.90  -48.55  0.24E-04
2022   8  31  12 -23.85  -48.55  0.24E-04
2022   8  31  12 -23.80  -48.55  0.22E-04
2022   8  31  12 -23.75  -48.55  0.22E-04
2022   8  31  12 -24.25  -48.50  0.24E-04
2022   8  31  12 -24.15  -48.50  0.24E-04
2022   8  31  12 -24.10  -48.50  0.72E-04
2022   8  31  12 -24.05  -48.50  0.24E-04
2022   8  31  12 -24.00  -48.50  0.24E-04
2022   8  31  12 -23.90  -48.50  0.48E-04
2022   8  31  12 -23.85  -48.50  0.22E-04
2022   8  31  12 -24.50  -48.45  0.24E-04
2022   8  31  12 -24.20  -48.45  0.24E-04
2022   8  31  12 -24.00  -48.45  0.24E-04
2022   8  31  12 -23.90  -48.45  0.24E-04
2022   8  31  12 -23.85  -48.45  0.48E-04
2022   8  31  12 -23.80  -48.45  0.24E-04
2022   8  31  12 -24.35  -48.40  0.24E-04
2022   8  31  12 -24.10  -48.40  0.22E-04
2022   8  31  12 -24.05  -48.40  0.46E-04
2022   8  31  12 -23.85  -48.40  0.24E-04
2022   8  31  12 -23.75  -48.40  0.70E-04
2022   8  31  12 -23.70  -48.40  0.22E-04
2022   8  31  12 -24.25  -48.35  0.24E-04
2022   8  31  12 -23.90  -48.35  0.24E-04
