LAT,LON,Total_Rn2200010
-28.3,-44.8,1.8e-05
-28.05,-45.4,1.8e-05
-28.05,-45.2,1.8e-05
-28.0,-45.4,1.8e-05
-28.0,-44.75,1.8e-05
-27.95,-44.9,1.8e-05
-27.85,-47.9,1.1e-05
-27.85,-47.85,2.2e-05
-27.85,-42.55,7.3e-06
-27.8,-47.85,2.2e-05
-27.8,-45.25,1.8e-05
-27.8,-44.65,1.8e-05
-27.8,-42.55,1.5e-05
-27.75,-47.85,1.1e-05
-27.75,-47.8,2.2e-05
-27.75,-42.8,7.3e-06
-27.75,-42.7,7.3e-06
-27.75,-42.65,7.3e-06
-27.75,-42.6,1.5e-05
-27.75,-42.15,2.2e-05
-27.7,-47.8,2.2e-05
-27.7,-45.1,2e-05
-27.7,-44.65,1.8e-05
-27.7,-42.8,1.5e-05
-27.7,-42.75,2.2e-05
-27.7,-42.7,1.5e-05
-27.7,-42.65,7.3e-06
-27.7,-42.2,1.5e-05
-27.65,-47.75,3.3e-05
-27.65,-45.65,1.8e-05
-27.65,-45.15,2e-05
-27.65,-42.9,7.3e-06
-27.65,-42.8,7.3e-06
-27.65,-42.75,7.3e-06
-27.65,-42.7,7.3e-06
-27.65,-42.6,2.2e-05
-27.6,-47.75,2.2e-05
-27.6,-45.75,1.8e-05
-27.6,-45.65,1.8e-05
-27.6,-45.15,2e-05
-27.6,-44.9,2e-05
-27.6,-44.6,2e-05
-27.6,-42.9,7.3e-06
-27.6,-42.85,1.5e-05
-27.6,-42.8,7.3e-06
-27.6,-42.75,7.3e-06
-27.6,-42.65,7.3e-06
-27.6,-42.4,7.3e-06
-27.6,-42.35,1.5e-05
-27.55,-47.7,1.1e-05
-27.55,-45.75,1.8e-05
-27.55,-44.7,3.7e-05
-27.55,-44.6,2e-05
-27.55,-42.95,1.5e-05
-27.55,-42.85,1.5e-05
-27.55,-42.8,7.3e-06
-27.55,-42.5,7.3e-06
-27.55,-42.45,7.3e-06
-27.55,-42.4,2.2e-05
-27.5,-45.85,1.8e-05
-27.5,-45.7,1.5e-05
-27.5,-45.45,3.7e-05
-27.5,-43.05,7.3e-06
-27.5,-43.0,1.5e-05
-27.5,-42.95,2.9e-05
-27.5,-42.9,7.3e-06
-27.5,-42.55,7.3e-06
-27.5,-42.5,1.5e-05
-27.45,-47.65,2.2e-05
-27.45,-45.9,1.8e-05
-27.45,-45.75,1.8e-05
-27.45,-45.7,1.65e-05
-27.45,-45.5,1.8e-05
-27.45,-45.45,1.8e-05
-27.45,-43.05,2.2e-05
-27.45,-43.0,7.3e-06
-27.45,-42.95,7.3e-06
-27.45,-42.6,2.2e-05
-27.45,-42.55,1.5e-05
-27.4,-47.65,1.1e-05
-27.4,-47.6,1.1e-05
-27.4,-45.75,7.3e-05
-27.4,-45.5,1.8e-05
-27.4,-43.15,1.1e-05
-27.4,-43.1,1.5e-05
-27.4,-43.05,1.5e-05
-27.4,-43.0,7.3e-06
-27.4,-42.55,8.2e-06
-27.4,-42.5,8.1e-06
-27.35,-45.75,1.8e-05
-27.35,-45.7,1.8e-05
-27.35,-45.5,1.9e-05
-27.35,-43.1,3.7e-05
-27.35,-43.05,1.5e-05
-27.35,-43.0,7.3e-06
-27.35,-42.95,2.2e-05
-27.3,-45.85,2e-05
-27.3,-45.75,1.8e-05
