YEAR  MO  DA  HR    LAT     LON Rn2200100
2011   7  17  12  22.80   85.60  0.56E-12
2011   7  17  12  22.85   85.60  0.68E-12
2011   7  17  12  22.90   85.60  0.34E-12
2011   7  17  12  22.75   85.65  0.89E-12
2011   7  17  12  22.80   85.65  0.18E-11
2011   7  17  12  22.85   85.65  0.17E-11
2011   7  17  12  22.70   85.70  0.13E-11
2011   7  17  12  22.75   85.70  0.28E-11
2011   7  17  12  22.80   85.70  0.69E-11
2011   7  17  12  22.85   85.70  0.55E-11
2011   7  17  12  22.90   85.70  0.45E-12
2011   7  17  12  22.70   85.75  0.27E-11
2011   7  17  12  22.75   85.75  0.69E-11
2011   7  17  12  22.80   85.75  0.16E-10
2011   7  17  12  22.85   85.75  0.10E-10
2011   7  17  12  22.90   85.75  0.26E-11
2011   7  17  12  22.65   85.80  0.11E-12
2011   7  17  12  22.70   85.80  0.34E-11
2011   7  17  12  22.75   85.80  0.19E-10
2011   7  17  12  22.80   85.80  0.22E-10
2011   7  17  12  22.85   85.80  0.85E-11
2011   7  17  12  22.90   85.80  0.14E-11
2011   7  17  12  22.95   85.80  0.26E-12
2011   7  17  12  22.65   85.85  0.45E-12
2011   7  17  12  22.70   85.85  0.38E-11
2011   7  17  12  22.75   85.85  0.29E-10
2011   7  17  12  22.80   85.85  0.29E-10
2011   7  17  12  22.85   85.85  0.85E-11
2011   7  17  12  22.90   85.85  0.11E-11
2011   7  17  12  22.95   85.85  0.78E-12
2011   7  17  12  22.60   85.90  0.13E-12
2011   7  17  12  22.65   85.90  0.22E-11
2011   7  17  12  22.70   85.90  0.56E-11
2011   7  17  12  22.75   85.90  0.32E-10
2011   7  17  12  22.80   85.90  0.31E-10
2011   7  17  12  22.85   85.90  0.68E-11
2011   7  17  12  22.90   85.90  0.11E-11
2011   7  17  12  22.65   85.95  0.34E-11
2011   7  17  12  22.70   85.95  0.12E-10
2011   7  17  12  22.75   85.95  0.47E-10
2011   7  17  12  22.80   85.95  0.33E-10
2011   7  17  12  22.85   85.95  0.54E-11
2011   7  17  12  22.90   85.95  0.13E-11
2011   7  17  12  22.65   86.00  0.42E-11
2011   7  17  12  22.70   86.00  0.25E-10
2011   7  17  12  22.75   86.00  0.54E-10
2011   7  17  12  22.80   86.00  0.25E-10
2011   7  17  12  22.85   86.00  0.25E-11
2011   7  17  12  22.90   86.00  0.39E-12
2011   7  17  12  22.65   86.05  0.57E-11
2011   7  17  12  22.70   86.05  0.41E-10
2011   7  17  12  22.75   86.05  0.70E-10
