YEAR  MO  DA  HR    LAT     LON Rn2200010
2011   4  13  12  -4.30  -40.45  0.31E-11
2011   4  13  12  -4.25  -40.45  0.31E-11
2011   4  13  12  -4.35  -40.40  0.42E-11
2011   4  13  12  -4.30  -40.40  0.27E-10
2011   4  13  12  -4.25  -40.40  0.10E-10
2011   4  13  12  -4.35  -40.35  0.21E-10
2011   4  13  12  -4.30  -40.35  0.37E-10
2011   4  13  12  -4.25  -40.35  0.44E-10
2011   4  13  12  -4.40  -40.30  0.13E-10
2011   4  13  12  -4.35  -40.30  0.51E-10
2011   4  13  12  -4.30  -40.30  0.59E-10
2011   4  13  12  -4.25  -40.30  0.37E-10
2011   4  13  12  -4.20  -40.30  0.15E-10
2011   4  13  12  -4.40  -40.25  0.47E-10
2011   4  13  12  -4.35  -40.25  0.63E-10
2011   4  13  12  -4.30  -40.25  0.42E-10
2011   4  13  12  -4.25  -40.25  0.38E-10
2011   4  13  12  -4.20  -40.25  0.41E-10
2011   4  13  12  -4.40  -40.20  0.86E-10
2011   4  13  12  -4.35  -40.20  0.80E-10
2011   4  13  12  -4.30  -40.20  0.47E-10
2011   4  13  12  -4.25  -40.20  0.62E-10
2011   4  13  12  -4.20  -40.20  0.29E-10
2011   4  13  12  -4.15  -40.20  0.13E-10
2011   4  13  12  -4.40  -40.15  0.13E-09
2011   4  13  12  -4.35  -40.15  0.86E-10
2011   4  13  12  -4.30  -40.15  0.77E-10
2011   4  13  12  -4.25  -40.15  0.67E-10
2011   4  13  12  -4.20  -40.15  0.64E-10
2011   4  13  12  -4.15  -40.15  0.21E-10
2011   4  13  12  -4.40  -40.10  0.13E-09
2011   4  13  12  -4.35  -40.10  0.11E-09
2011   4  13  12  -4.30  -40.10  0.92E-10
2011   4  13  12  -4.25  -40.10  0.59E-10
2011   4  13  12  -4.20  -40.10  0.85E-10
2011   4  13  12  -4.15  -40.10  0.48E-10
2011   4  13  12  -4.40  -40.05  0.13E-09
2011   4  13  12  -4.35  -40.05  0.19E-09
2011   4  13  12  -4.30  -40.05  0.99E-10
2011   4  13  12  -4.25  -40.05  0.98E-10
2011   4  13  12  -4.20  -40.05  0.95E-10
2011   4  13  12  -4.15  -40.05  0.12E-09
2011   4  13  12  -4.40  -40.00  0.11E-09
2011   4  13  12  -4.35  -40.00  0.21E-09
2011   4  13  12  -4.30  -40.00  0.13E-09
2011   4  13  12  -4.25  -40.00  0.13E-09
2011   4  13  12  -4.20  -40.00  0.13E-09
2011   4  13  12  -4.15  -40.00  0.11E-09
2011   4  13  12  -4.40  -39.95  0.31E-10
2011   4  13  12  -4.35  -39.95  0.35E-09
2011   4  13  12  -4.30  -39.95  0.23E-09
2011   4  13  12  -4.25  -39.95  0.26E-09
2011   4  13  12  -4.20  -39.95  0.29E-09
2011   4  13  12  -4.15  -39.95  0.30E-10
2011   4  13  12  -4.35  -39.90  0.56E-09
2011   4  13  12  -4.30  -39.90  0.34E-09
2011   4  13  12  -4.25  -39.90  0.47E-09
2011   4  13  12  -4.20  -39.90  0.10E-09
2011   4  13  12  -4.35  -39.85  0.81E-09
2011   4  13  12  -4.30  -39.85  0.13E-08
2011   4  13  12  -4.25  -39.85  0.14E-09
2011   4  13  12  -4.35  -39.80  0.38E-10
2011   4  13  12  -4.30  -39.80  0.30E-09
2011   4  14   0  -4.25  -41.00  0.94E-12
