YEAR  MO  DA  HR    LAT     LON Rn2200010
2020   1  14  12  -4.40  -40.25  0.12E-11
2020   1  14  12  -4.45  -40.20  0.12E-11
2020   1  14  12  -4.40  -40.20  0.12E-11
2020   1  14  12  -4.35  -40.20  0.12E-11
2020   1  14  12  -4.50  -40.15  0.21E-11
2020   1  14  12  -4.45  -40.15  0.31E-10
2020   1  14  12  -4.40  -40.15  0.76E-10
2020   1  14  12  -4.35  -40.15  0.77E-10
2020   1  14  12  -4.30  -40.15  0.36E-11
2020   1  14  12  -4.50  -40.10  0.18E-10
2020   1  14  12  -4.45  -40.10  0.84E-10
2020   1  14  12  -4.40  -40.10  0.85E-10
2020   1  14  12  -4.35  -40.10  0.12E-09
2020   1  14  12  -4.30  -40.10  0.64E-10
2020   1  14  12  -4.50  -40.05  0.33E-10
2020   1  14  12  -4.45  -40.05  0.85E-10
2020   1  14  12  -4.40  -40.05  0.68E-10
2020   1  14  12  -4.35  -40.05  0.13E-09
2020   1  14  12  -4.30  -40.05  0.12E-09
2020   1  14  12  -4.55  -40.00  0.11E-11
2020   1  14  12  -4.50  -40.00  0.56E-10
2020   1  14  12  -4.45  -40.00  0.87E-10
2020   1  14  12  -4.40  -40.00  0.62E-10
2020   1  14  12  -4.35  -40.00  0.15E-09
2020   1  14  12  -4.30  -40.00  0.21E-09
2020   1  14  12  -4.55  -39.95  0.18E-10
2020   1  14  12  -4.50  -39.95  0.54E-10
2020   1  14  12  -4.45  -39.95  0.52E-10
2020   1  14  12  -4.40  -39.95  0.81E-10
2020   1  14  12  -4.35  -39.95  0.14E-09
2020   1  14  12  -4.30  -39.95  0.29E-09
2020   1  14  12  -4.55  -39.90  0.19E-10
2020   1  14  12  -4.50  -39.90  0.83E-10
2020   1  14  12  -4.45  -39.90  0.95E-10
2020   1  14  12  -4.40  -39.90  0.13E-09
2020   1  14  12  -4.35  -39.90  0.32E-09
2020   1  14  12  -4.30  -39.90  0.36E-09
2020   1  14  12  -4.50  -39.85  0.55E-10
2020   1  14  12  -4.45  -39.85  0.15E-09
2020   1  14  12  -4.40  -39.85  0.23E-09
2020   1  14  12  -4.35  -39.85  0.14E-08
2020   1  14  12  -4.30  -39.85  0.13E-09
2020   1  14  12  -4.40  -39.80  0.49E-10
2020   1  14  12  -4.35  -39.80  0.32E-09
2020   1  15   0  -4.60  -40.35  0.11E-11
2020   1  15   0  -4.50  -40.35  0.11E-11
2020   1  15   0  -4.45  -40.35  0.23E-11
2020   1  15   0  -5.00  -40.30  0.54E-12
2020   1  15   0  -4.80  -40.30  0.64E-12
2020   1  15   0  -4.75  -40.30  0.22E-11
2020   1  15   0  -4.70  -40.30  0.74E-12
2020   1  15   0  -4.65  -40.30  0.48E-11
2020   1  15   0  -4.60  -40.30  0.41E-11
2020   1  15   0  -4.50  -40.30  0.45E-11
2020   1  15   0  -4.45  -40.30  0.68E-11
2020   1  15   0  -4.40  -40.30  0.46E-11
2020   1  15   0  -4.95  -40.25  0.55E-12
2020   1  15   0  -4.90  -40.25  0.54E-12
2020   1  15   0  -4.85  -40.25  0.26E-11
2020   1  15   0  -4.80  -40.25  0.15E-11
2020   1  15   0  -4.75  -40.25  0.44E-11
2020   1  15   0  -4.70  -40.25  0.59E-11
2020   1  15   0  -4.65  -40.25  0.47E-11
2020   1  15   0  -4.60  -40.25  0.93E-11
2020   1  15   0  -4.55  -40.25  0.79E-11
2020   1  15   0  -4.50  -40.25  0.18E-10
2020   1  15   0  -4.45  -40.25  0.32E-10
2020   1  15   0  -4.40  -40.25  0.22E-10
2020   1  15   0  -4.35  -40.25  0.47E-11
2020   1  15   0  -4.95  -40.20  0.27E-11
2020   1  15   0  -4.90  -40.20  0.38E-11
2020   1  15   0  -4.85  -40.20  0.58E-11
2020   1  15   0  -4.80  -40.20  0.37E-11
2020   1  15   0  -4.75  -40.20  0.42E-11
2020   1  15   0  -4.70  -40.20  0.60E-11
2020   1  15   0  -4.65  -40.20  0.11E-10
2020   1  15   0  -4.60  -40.20  0.24E-10
2020   1  15   0  -4.55  -40.20  0.42E-10
2020   1  15   0  -4.50  -40.20  0.40E-10
2020   1  15   0  -4.45  -40.20  0.99E-10
2020   1  15   0  -4.40  -40.20  0.16E-09
2020   1  15   0  -4.35  -40.20  0.11E-09
2020   1  15   0  -5.00  -40.15  0.22E-11
2020   1  15   0  -4.95  -40.15  0.27E-11
2020   1  15   0  -4.90  -40.15  0.11E-11
2020   1  15   0  -4.85  -40.15  0.51E-11
2020   1  15   0  -4.80  -40.15  0.11E-10
2020   1  15   0  -4.75  -40.15  0.10E-10
2020   1  15   0  -4.70  -40.15  0.14E-10
2020   1  15   0  -4.65  -40.15  0.14E-10
2020   1  15   0  -4.60  -40.15  0.14E-10
2020   1  15   0  -4.55  -40.15  0.18E-10
2020   1  15   0  -4.50  -40.15  0.27E-10
2020   1  15   0  -4.45  -40.15  0.84E-10
2020   1  15   0  -4.40  -40.15  0.42E-10
2020   1  15   0  -4.35  -40.15  0.13E-09
2020   1  15   0  -4.30  -40.15  0.29E-10
2020   1  15   0  -5.00  -40.10  0.10E-11
2020   1  15   0  -4.95  -40.10  0.96E-11
2020   1  15   0  -4.90  -40.10  0.94E-11
2020   1  15   0  -4.85  -40.10  0.11E-10
2020   1  15   0  -4.80  -40.10  0.62E-11
2020   1  15   0  -4.75  -40.10  0.53E-11
2020   1  15   0  -4.70  -40.10  0.64E-11
2020   1  15   0  -4.65  -40.10  0.76E-11
2020   1  15   0  -4.60  -40.10  0.91E-11
2020   1  15   0  -4.55  -40.10  0.13E-10
2020   1  15   0  -4.50  -40.10  0.13E-10
2020   1  15   0  -4.45  -40.10  0.24E-10
2020   1  15   0  -4.40  -40.10  0.19E-10
2020   1  15   0  -4.35  -40.10  0.76E-10
2020   1  15   0  -4.30  -40.10  0.83E-10
2020   1  15   0  -5.05  -40.05  0.95E-12
2020   1  15   0  -5.00  -40.05  0.31E-11
2020   1  15   0  -4.95  -40.05  0.65E-11
2020   1  15   0  -4.90  -40.05  0.29E-11
2020   1  15   0  -4.85  -40.05  0.59E-11
2020   1  15   0  -4.80  -40.05  0.80E-11
2020   1  15   0  -4.75  -40.05  0.38E-11
2020   1  15   0  -4.70  -40.05  0.76E-11
2020   1  15   0  -4.65  -40.05  0.91E-11
2020   1  15   0  -4.60  -40.05  0.57E-11
2020   1  15   0  -4.55  -40.05  0.13E-10
2020   1  15   0  -4.50  -40.05  0.14E-10
2020   1  15   0  -4.45  -40.05  0.32E-10
2020   1  15   0  -4.40  -40.05  0.31E-10
2020   1  15   0  -4.35  -40.05  0.84E-10
2020   1  15   0  -4.30  -40.05  0.10E-09
2020   1  15   0  -5.05  -40.00  0.47E-12
2020   1  15   0  -5.00  -40.00  0.47E-12
2020   1  15   0  -4.95  -40.00  0.66E-11
2020   1  15   0  -4.90  -40.00  0.56E-11
2020   1  15   0  -4.85  -40.00  0.51E-11
2020   1  15   0  -4.80  -40.00  0.34E-11
2020   1  15   0  -4.75  -40.00  0.69E-11
2020   1  15   0  -4.70  -40.00  0.11E-10
2020   1  15   0  -4.65  -40.00  0.77E-11
2020   1  15   0  -4.60  -40.00  0.14E-10
2020   1  15   0  -4.55  -40.00  0.15E-10
2020   1  15   0  -4.50  -40.00  0.28E-10
2020   1  15   0  -4.45  -40.00  0.57E-10
2020   1  15   0  -4.40  -40.00  0.67E-10
2020   1  15   0  -4.35  -40.00  0.70E-10
2020   1  15   0  -4.30  -40.00  0.96E-10
2020   1  15   0  -5.05  -39.95  0.47E-12
2020   1  15   0  -4.95  -39.95  0.28E-11
2020   1  15   0  -4.90  -39.95  0.23E-11
2020   1  15   0  -4.85  -39.95  0.59E-11
2020   1  15   0  -4.80  -39.95  0.85E-11
2020   1  15   0  -4.75  -39.95  0.14E-10
2020   1  15   0  -4.70  -39.95  0.20E-10
2020   1  15   0  -4.65  -39.95  0.40E-10
2020   1  15   0  -4.60  -39.95  0.35E-10
2020   1  15   0  -4.55  -39.95  0.49E-10
2020   1  15   0  -4.50  -39.95  0.63E-10
2020   1  15   0  -4.45  -39.95  0.96E-10
2020   1  15   0  -4.40  -39.95  0.14E-09
2020   1  15   0  -4.35  -39.95  0.16E-09
2020   1  15   0  -4.30  -39.95  0.67E-10
2020   1  15   0  -4.95  -39.90  0.92E-11
2020   1  15   0  -4.90  -39.90  0.20E-10
