YEAR  MO  DA  HR    LAT     LON Rn2200010
1992  10   7  12 -20.45  -49.25  0.44E-12
1992  10   7  12 -20.55  -49.20  0.44E-12
1992  10   7  12 -20.65  -49.15  0.88E-12
1992  10   7  12 -20.40  -49.15  0.44E-12
1992  10   7  12 -20.65  -49.10  0.44E-12
1992  10   7  12 -20.45  -49.10  0.44E-12
1992  10   7  12 -20.40  -49.10  0.88E-12
1992  10   7  12 -20.40  -49.05  0.18E-11
1992  10   7  12 -20.50  -49.00  0.45E-12
1992  10   7  12 -20.45  -49.00  0.23E-11
1992  10   7  12 -20.40  -49.00  0.22E-11
1992  10   7  12 -20.45  -48.95  0.19E-11
1992  10   7  12 -20.40  -48.95  0.52E-11
1992  10   7  12 -20.35  -48.95  0.10E-11
1992  10   7  12 -20.50  -48.90  0.51E-12
1992  10   7  12 -20.45  -48.90  0.18E-11
1992  10   7  12 -20.40  -48.90  0.32E-11
1992  10   7  12 -20.35  -48.90  0.51E-12
1992  10   7  12 -20.45  -48.85  0.75E-12
1992  10   7  12 -20.40  -48.85  0.36E-11
1992  10   7  12 -20.35  -48.85  0.20E-11
1992  10   7  12 -20.45  -48.80  0.89E-12
1992  10   7  12 -20.40  -48.80  0.72E-11
1992  10   7  12 -20.35  -48.80  0.50E-11
1992  10   7  12 -20.40  -48.75  0.56E-11
1992  10   7  12 -20.35  -48.75  0.62E-11
1992  10   7  12 -20.30  -48.75  0.50E-12
1992  10   7  12 -20.40  -48.70  0.34E-11
1992  10   7  12 -20.35  -48.70  0.12E-10
1992  10   7  12 -20.30  -48.70  0.10E-11
1992  10   7  12 -20.25  -48.70  0.50E-12
1992  10   7  12 -20.45  -48.65  0.10E-11
1992  10   7  12 -20.40  -48.65  0.27E-11
1992  10   7  12 -20.35  -48.65  0.14E-10
1992  10   7  12 -20.30  -48.65  0.49E-11
1992  10   7  12 -20.25  -48.65  0.50E-12
1992  10   7  12 -20.45  -48.60  0.50E-12
1992  10   7  12 -20.40  -48.60  0.11E-11
1992  10   7  12 -20.35  -48.60  0.19E-10
1992  10   7  12 -20.30  -48.60  0.83E-11
1992  10   7  12 -20.25  -48.60  0.50E-12
1992  10   7  12 -20.35  -48.55  0.27E-10
1992  10   7  12 -20.30  -48.55  0.19E-10
1992  10   7  12 -20.25  -48.55  0.43E-11
1992  10   7  12 -20.35  -48.50  0.45E-11
1992  10   7  12 -20.30  -48.50  0.52E-10
1992  10   7  12 -20.25  -48.50  0.70E-11
1992  10   7  12 -20.20  -48.50  0.20E-11
1992  10   7  12 -20.30  -48.45  0.53E-10
1992  10   7  12 -20.25  -48.45  0.21E-10
1992  10   7  12 -20.20  -48.45  0.56E-11
1992  10   7  12 -20.15  -48.45  0.51E-12
1992  10   7  12 -20.30  -48.40  0.17E-10
1992  10   7  12 -20.25  -48.40  0.65E-10
1992  10   7  12 -20.20  -48.40  0.10E-10
1992  10   7  12 -20.15  -48.40  0.46E-11
1992  10   7  12 -20.10  -48.40  0.51E-12
1992  10   7  12 -20.25  -48.35  0.97E-10
1992  10   7  12 -20.20  -48.35  0.19E-10
1992  10   7  12 -20.15  -48.35  0.67E-11
1992  10   7  12 -20.10  -48.35  0.10E-11
1992  10   7  12 -20.25  -48.30  0.43E-10
1992  10   7  12 -20.20  -48.30  0.77E-10
1992  10   7  12 -20.15  -48.30  0.10E-10
1992  10   7  12 -20.10  -48.30  0.21E-11
1992  10   7  12 -20.20  -48.25  0.14E-09
1992  10   7  12 -20.15  -48.25  0.30E-10
1992  10   7  12 -20.10  -48.25  0.11E-10
1992  10   7  12 -20.05  -48.25  0.16E-11
1992  10   7  12 -20.20  -48.20  0.53E-10
1992  10   7  12 -20.15  -48.20  0.14E-09
1992  10   7  12 -20.10  -48.20  0.16E-10
1992  10   7  12 -20.05  -48.20  0.73E-11
1992  10   7  12 -20.15  -48.15  0.19E-09
1992  10   7  12 -20.10  -48.15  0.35E-10
1992  10   7  12 -20.05  -48.15  0.17E-10
1992  10   7  12 -20.15  -48.10  0.81E-10
1992  10   7  12 -20.10  -48.10  0.24E-09
1992  10   7  12 -20.05  -48.10  0.41E-10
1992  10   7  12 -20.00  -48.10  0.48E-11
1992  10   7  12 -20.10  -48.05  0.29E-09
1992  10   7  12 -20.05  -48.05  0.11E-09
