YEAR  MO  DA  HR    LAT     LON Rn2200010
2020   5  27  12 -19.80  -48.20  0.18E-02
2020   5  27  12 -19.85  -48.15  0.13E-01
2020   5  27  12 -19.80  -48.15  0.33E-01
2020   5  27  12 -19.75  -48.15  0.29E-02
2020   5  27  12 -19.90  -48.10  0.36E-02
2020   5  27  12 -19.85  -48.10  0.64E-01
2020   5  27  12 -19.80  -48.10  0.51E-01
2020   5  27  12 -19.75  -48.10  0.12E-01
2020   5  27  12 -19.90  -48.05  0.68E-01
2020   5  27  12 -19.85  -48.05  0.68E-01
2020   5  27  12 -19.80  -48.05  0.33E-01
2020   5  27  12 -19.75  -48.05  0.75E-02
2020   5  27  12 -19.95  -48.00  0.25E-01
2020   5  27  12 -19.90  -48.00  0.16E+00
2020   5  27  12 -19.85  -48.00  0.40E-01
2020   5  27  12 -19.80  -48.00  0.31E-01
2020   5  27  12 -19.75  -48.00  0.23E-02
2020   5  27  12 -19.95  -47.95  0.23E+00
2020   5  27  12 -19.90  -47.95  0.12E+00
2020   5  27  12 -19.85  -47.95  0.49E-01
2020   5  27  12 -19.80  -47.95  0.17E-01
2020   5  27  12 -20.00  -47.90  0.66E-03
2020   5  27  12 -19.95  -47.90  0.52E+00
2020   5  27  12 -19.90  -47.90  0.68E-01
2020   5  27  12 -19.85  -47.90  0.43E-01
2020   5  27  12 -19.80  -47.90  0.38E-02
2020   5  27  12 -19.75  -47.90  0.10E-02
2020   5  27  12 -20.00  -47.85  0.78E-01
2020   5  27  12 -19.95  -47.85  0.40E+00
2020   5  27  12 -19.90  -47.85  0.73E-01
2020   5  27  12 -19.85  -47.85  0.15E-01
2020   5  27  12 -19.95  -47.80  0.18E+00
2020   5  27  12 -19.90  -47.80  0.41E-01
2020   5  27  12 -19.85  -47.80  0.10E-02
2020   5  27  12 -19.95  -47.75  0.23E-01
2020   5  27  12 -19.90  -47.75  0.96E-02
2020   5  28   0 -19.75  -48.30  0.24E-01
2020   5  28   0 -19.70  -48.30  0.68E-01
2020   5  28   0 -19.65  -48.30  0.16E-01
2020   5  28   0 -19.45  -48.30  0.11E-02
2020   5  28   0 -19.40  -48.30  0.32E-02
2020   5  28   0 -19.35  -48.30  0.22E-02
2020   5  28   0 -19.80  -48.25  0.22E-01
2020   5  28   0 -19.75  -48.25  0.96E-01
2020   5  28   0 -19.70  -48.25  0.13E+00
2020   5  28   0 -19.65  -48.25  0.11E+00
2020   5  28   0 -19.60  -48.25  0.26E-01
2020   5  28   0 -19.55  -48.25  0.13E-01
2020   5  28   0 -19.50  -48.25  0.20E-01
2020   5  28   0 -19.45  -48.25  0.24E-01
2020   5  28   0 -19.40  -48.25  0.21E-01
2020   5  28   0 -19.35  -48.25  0.14E-01
2020   5  28   0 -19.30  -48.25  0.14E-02
2020   5  28   0 -19.85  -48.20  0.54E-02
2020   5  28   0 -19.80  -48.20  0.10E+00
2020   5  28   0 -19.75  -48.20  0.11E+00
2020   5  28   0 -19.70  -48.20  0.93E-01
2020   5  28   0 -19.65  -48.20  0.95E-01
2020   5  28   0 -19.60  -48.20  0.57E-01
2020   5  28   0 -19.55  -48.20  0.38E-01
2020   5  28   0 -19.50  -48.20  0.43E-01
2020   5  28   0 -19.45  -48.20  0.30E-01
2020   5  28   0 -19.40  -48.20  0.30E-01
2020   5  28   0 -19.35  -48.20  0.13E-01
2020   5  28   0 -19.30  -48.20  0.28E-02
2020   5  28   0 -19.85  -48.15  0.84E-01
2020   5  28   0 -19.80  -48.15  0.81E-01
2020   5  28   0 -19.75  -48.15  0.76E-01
2020   5  28   0 -19.70  -48.15  0.59E-01
2020   5  28   0 -19.65  -48.15  0.66E-01
2020   5  28   0 -19.60  -48.15  0.48E-01
2020   5  28   0 -19.55  -48.15  0.36E-01
2020   5  28   0 -19.50  -48.15  0.31E-01
2020   5  28   0 -19.45  -48.15  0.16E-01
2020   5  28   0 -19.40  -48.15  0.11E-01
2020   5  28   0 -19.35  -48.15  0.91E-02
2020   5  28   0 -19.30  -48.15  0.13E-02
2020   5  28   0 -19.90  -48.10  0.34E-01
2020   5  28   0 -19.85  -48.10  0.11E+00
2020   5  28   0 -19.80  -48.10  0.43E-01
2020   5  28   0 -19.75  -48.10  0.52E-01
2020   5  28   0 -19.70  -48.10  0.36E-01
2020   5  28   0 -19.65  -48.10  0.30E-01
2020   5  28   0 -19.60  -48.10  0.31E-01
2020   5  28   0 -19.55  -48.10  0.26E-01
2020   5  28   0 -19.50  -48.10  0.17E-01
2020   5  28   0 -19.45  -48.10  0.82E-02
2020   5  28   0 -19.40  -48.10  0.91E-02
2020   5  28   0 -19.35  -48.10  0.36E-02
2020   5  28   0 -19.30  -48.10  0.31E-03
2020   5  28   0 -19.90  -48.05  0.11E+00
2020   5  28   0 -19.85  -48.05  0.63E-01
2020   5  28   0 -19.80  -48.05  0.23E-01
2020   5  28   0 -19.75  -48.05  0.24E-01
2020   5  28   0 -19.70  -48.05  0.23E-01
2020   5  28   0 -19.65  -48.05  0.21E-01
2020   5  28   0 -19.60  -48.05  0.23E-01
2020   5  28   0 -19.55  -48.05  0.13E-01
2020   5  28   0 -19.50  -48.05  0.67E-02
2020   5  28   0 -19.45  -48.05  0.14E-02
2020   5  28   0 -19.40  -48.05  0.15E-02
2020   5  28   0 -19.35  -48.05  0.19E-02
2020   5  28   0 -19.95  -48.00  0.52E-01
2020   5  28   0 -19.90  -48.00  0.15E+00
2020   5  28   0 -19.85  -48.00  0.49E-01
2020   5  28   0 -19.80  -48.00  0.29E-01
2020   5  28   0 -19.75  -48.00  0.24E-01
2020   5  28   0 -19.70  -48.00  0.25E-01
2020   5  28   0 -19.65  -48.00  0.23E-01
2020   5  28   0 -19.60  -48.00  0.15E-01
2020   5  28   0 -19.55  -48.00  0.48E-02
2020   5  28   0 -19.45  -48.00  0.77E-03
2020   5  28   0 -19.40  -48.00  0.31E-03
2020   5  28   0 -19.35  -48.00  0.31E-03
2020   5  28   0 -19.95  -47.95  0.22E+00
2020   5  28   0 -19.90  -47.95  0.53E-01
2020   5  28   0 -19.85  -47.95  0.27E-01
2020   5  28   0 -19.80  -47.95  0.17E-01
2020   5  28   0 -19.75  -47.95  0.21E-01
2020   5  28   0 -19.70  -47.95  0.23E-01
2020   5  28   0 -19.65  -47.95  0.15E-01
2020   5  28   0 -19.60  -47.95  0.97E-02
2020   5  28   0 -19.55  -47.95  0.13E-02
2020   5  28   0 -19.50  -47.95  0.10E-02
2020   5  28   0 -19.45  -47.95  0.14E-02
2020   5  28   0 -19.40  -47.95  0.77E-03
2020   5  28   0 -20.00  -47.90  0.17E+00
2020   5  28   0 -19.95  -47.90  0.72E+00
2020   5  28   0 -19.90  -47.90  0.20E+00
2020   5  28   0 -19.85  -47.90  0.12E+00
2020   5  28   0 -19.80  -47.90  0.95E-01
2020   5  28   0 -19.75  -47.90  0.11E+00
2020   5  28   0 -19.70  -47.90  0.70E-01
2020   5  28   0 -19.65  -47.90  0.49E-01
2020   5  28   0 -19.60  -47.90  0.15E-02
2020   5  28   0 -20.00  -47.85  0.54E-01
2020   5  28   0 -19.95  -47.85  0.33E+00
2020   5  28   0 -19.90  -47.85  0.15E+00
2020   5  28   0 -19.85  -47.85  0.10E+00
2020   5  28   0 -19.80  -47.85  0.64E-01
2020   5  28   0 -19.75  -47.85  0.39E-01
2020   5  28   0 -19.70  -47.85  0.24E-01
2020   5  28   0 -19.65  -47.85  0.27E-02
2020   5  28   0 -19.60  -47.85  0.11E-02
2020   5  28   0 -19.55  -47.85  0.53E-03
