YEAR  MO  DA  HR    LAT     LON Rn2200010
2021   1  19  12 -20.50  -48.65  0.34E-03
2021   1  19  12 -20.45  -48.60  0.73E-03
2021   1  19  12 -20.40  -48.55  0.78E-03
2021   1  19  12 -20.35  -48.50  0.11E-02
2021   1  19  12 -20.30  -48.50  0.68E-03
2021   1  19  12 -20.35  -48.45  0.79E-03
2021   1  19  12 -20.30  -48.45  0.19E-02
2021   1  19  12 -20.25  -48.45  0.11E-02
2021   1  19  12 -20.30  -48.40  0.24E-02
2021   1  19  12 -20.25  -48.40  0.19E-02
2021   1  19  12 -20.20  -48.40  0.40E-03
2021   1  19  12 -20.25  -48.35  0.16E-02
2021   1  19  12 -20.20  -48.35  0.52E-02
2021   1  19  12 -20.20  -48.30  0.75E-02
2021   1  19  12 -20.15  -48.30  0.20E-02
2021   1  19  12 -20.25  -48.25  0.41E-03
2021   1  19  12 -20.20  -48.25  0.12E-02
2021   1  19  12 -20.15  -48.25  0.13E-01
2021   1  19  12 -20.15  -48.20  0.48E-02
2021   1  19  12 -20.10  -48.20  0.25E-01
2021   1  19  12 -20.15  -48.15  0.20E-02
2021   1  19  12 -20.10  -48.15  0.93E-01
2021   1  19  12 -20.10  -48.10  0.51E-01
2021   1  19  12 -20.05  -48.10  0.87E-01
2021   1  19  12 -20.10  -48.05  0.21E-02
2021   1  19  12 -20.05  -48.05  0.18E+00
2021   1  19  12 -20.05  -48.00  0.17E+00
2021   1  19  12 -20.00  -48.00  0.13E+00
2021   1  19  12 -20.05  -47.95  0.42E-03
2021   1  19  12 -20.00  -47.95  0.46E+00
2021   1  19  12 -20.00  -47.90  0.74E+00
2021   1  20   0 -21.00  -49.30  0.55E-03
2021   1  20   0 -20.95  -49.30  0.51E-03
2021   1  20   0 -20.85  -49.30  0.27E-03
2021   1  20   0 -20.90  -49.25  0.82E-03
2021   1  20   0 -20.85  -49.25  0.27E-03
2021   1  20   0 -20.80  -49.25  0.27E-03
2021   1  20   0 -20.75  -49.25  0.50E-03
2021   1  20   0 -20.70  -49.25  0.27E-03
2021   1  20   0 -20.65  -49.25  0.27E-03
2021   1  20   0 -20.60  -49.25  0.27E-03
2021   1  20   0 -20.95  -49.20  0.52E-03
2021   1  20   0 -20.90  -49.20  0.55E-03
2021   1  20   0 -20.85  -49.20  0.27E-03
2021   1  20   0 -20.80  -49.20  0.54E-03
2021   1  20   0 -20.70  -49.20  0.23E-03
2021   1  20   0 -20.65  -49.20  0.27E-03
2021   1  20   0 -20.60  -49.20  0.27E-03
2021   1  20   0 -21.00  -49.15  0.27E-03
2021   1  20   0 -20.90  -49.15  0.56E-03
2021   1  20   0 -20.85  -49.15  0.55E-03
2021   1  20   0 -20.80  -49.15  0.55E-03
2021   1  20   0 -20.70  -49.15  0.51E-03
2021   1  20   0 -20.65  -49.15  0.28E-03
2021   1  20   0 -20.55  -49.15  0.27E-03
2021   1  20   0 -21.00  -49.10  0.24E-03
