LAT,LON,Total_Rn2200010
-22.3,-47.7,0.0001
-22.3,-47.65,0.0001
-22.25,-47.65,0.00021
-22.2,-48.85,0.00031
-22.2,-48.8,0.0001
-22.2,-47.65,0.0001
-22.15,-48.65,0.0001
-22.1,-48.25,0.0001
-22.05,-48.3,0.0001
-22.05,-47.95,0.00021
-22.0,-48.3,0.0001
-22.0,-48.1,0.0001
-22.0,-47.95,0.00041
-22.0,-47.9,0.0001
-22.0,-47.8,0.00012
-21.95,-49.45,0.00031
-21.95,-49.4,0.0001
-21.95,-49.35,0.0001
-21.95,-48.3,0.0001
-21.95,-48.05,0.00021
-21.95,-48.0,0.00022
-21.95,-47.95,0.00043
-21.95,-47.9,0.00021
-21.9,-49.45,0.0002
-21.9,-49.3,0.00012
-21.9,-48.15,0.00041
-21.9,-48.1,0.0001
-21.9,-48.05,0.00031
-21.9,-48.0,0.00012
-21.9,-47.9,0.00021
-21.85,-49.4,0.0001
-21.85,-48.6,0.0001
-21.85,-48.55,0.0001
-21.85,-48.15,0.00041
-21.85,-48.1,0.00085
-21.85,-48.0,0.00024
-21.85,-47.95,0.0001
-21.85,-47.85,0.0001
-21.85,-47.4,0.0001
-21.85,-46.85,0.000205
-21.8,-49.45,0.0001
-21.8,-48.5,0.0001
-21.8,-48.45,0.0001
-21.8,-48.25,0.00031
-21.8,-48.2,0.0001
-21.8,-48.15,0.00041
-21.8,-48.1,0.00042
-21.8,-48.05,0.00077
-21.8,-48.0,0.00059
-21.8,-47.95,0.00021
-21.8,-47.9,0.00012
-21.8,-47.85,0.00044
-21.8,-46.85,0.00041
-21.75,-49.65,0.00012
-21.75,-49.45,0.0001
-21.75,-49.4,0.000155
-21.75,-49.35,0.0001
-21.75,-49.1,0.00012
-21.75,-48.6,0.0002
-21.75,-48.55,0.0001
-21.75,-48.45,0.0001
-21.75,-48.25,0.00012
-21.75,-48.2,0.00021
-21.75,-48.1,0.00075
-21.75,-48.05,0.00075
-21.75,-48.0,0.000155
-21.75,-47.95,0.00035
-21.75,-47.85,0.00065
-21.75,-47.8,0.00021
-21.75,-47.5,0.00012
-21.75,-47.1,0.00012
-21.75,-46.85,0.00041
-21.7,-49.6,0.00012
-21.7,-49.4,0.0001
-21.7,-49.35,0.00021
-21.7,-48.55,0.00034
-21.7,-48.45,0.00017
-21.7,-48.35,0.00012
-21.7,-48.3,0.00012
-21.7,-48.25,0.00012
-21.7,-48.2,0.00041
-21.7,-48.15,0.00022
-21.7,-48.1,0.00021
-21.7,-48.05,0.00052
-21.7,-48.0,0.00044500000000000003
-21.7,-47.95,0.0007
-21.7,-47.9,0.00022
-21.7,-47.85,0.00022
-21.7,-47.8,0.00034
-21.7,-47.5,0.0001
-21.7,-47.1,0.00012
-21.65,-49.5,0.00012
-21.65,-49.2,0.00023
-21.65,-48.7,0.0001
-21.65,-48.55,0.00012
-21.65,-48.4,0.0001
-21.65,-48.35,0.0001
-21.65,-48.25,0.00053
-21.65,-48.2,0.00066
-21.65,-48.15,0.001
-21.65,-48.1,0.00041
-21.65,-48.0,0.00062
-21.65,-47.95,0.00047
-21.65,-47.9,0.001
-21.65,-47.85,0.00023
-21.65,-47.8,0.00022
-21.65,-47.55,0.00012
-21.65,-45.55,6.8e-05
-21.6,-49.25,0.00021
-21.6,-49.05,0.00023
-21.6,-48.8,9.7e-05
-21.6,-48.75,0.0002
-21.6,-48.7,0.0001
-21.6,-48.65,0.00023
-21.6,-48.5,0.0001
-21.6,-48.45,0.0001
-21.6,-48.4,0.00017
-21.6,-48.25,0.0001
-21.6,-48.2,0.001
-21.6,-48.15,0.00077
-21.6,-48.1,0.00076
-21.6,-48.05,0.000355
-21.6,-48.0,0.00085
-21.6,-47.9,0.00022
-21.6,-47.85,0.00029
-21.6,-47.8,0.0001
-21.6,-47.75,0.00012
-21.6,-47.65,0.00012
-21.6,-46.25,0.00023
-21.55,-49.4,0.0002
-21.55,-49.35,0.00035
-21.55,-49.3,0.00023
-21.55,-49.25,0.00012
-21.55,-49.2,0.000165
-21.55,-49.05,0.00011
-21.55,-49.0,0.00017
-21.55,-48.95,0.00023
-21.55,-48.75,0.0001
-21.55,-48.7,0.0001
-21.55,-48.6,0.00012
-21.55,-48.5,0.0001
-21.55,-48.4,0.00012
-21.55,-48.35,0.00022
-21.55,-48.3,0.00033
-21.55,-48.25,0.00022
-21.55,-48.2,0.00017
-21.55,-48.15,0.0011
-21.55,-48.1,0.00059
-21.55,-48.05,0.0016
-21.55,-48.0,0.0006100000000000001
-21.55,-47.95,0.00012
-21.55,-47.9,0.00020333333333333333
-21.55,-47.85,0.000215
-21.55,-47.8,0.0001
-21.55,-47.75,0.00021
-21.55,-47.55,0.00023
-21.55,-47.35,0.0001
-21.55,-46.9,0.00031
-21.55,-45.65,6.9e-05
-21.55,-45.05,6.8e-05
-21.5,-49.4,0.00041
-21.5,-49.35,0.00053
-21.5,-49.3,0.00012
-21.5,-49.25,0.000105
-21.5,-49.15,9.9e-05
-21.5,-49.1,0.00012
-21.5,-49.05,0.00058
-21.5,-49.0,0.0002175
-21.5,-48.9,0.00012
-21.5,-48.85,0.00028000000000000003
-21.5,-48.8,0.000269
-21.5,-48.75,0.00021500000000000002
-21.5,-48.7,0.000205
-21.5,-48.65,0.000165
-21.5,-48.6,0.0001375
-21.5,-48.55,0.00011
-21.5,-48.5,0.000165
-21.5,-48.45,0.00011333333333333334
-21.5,-48.4,0.00024
-21.5,-48.35,0.00047
-21.5,-48.3,0.00023333333333333336
-21.5,-48.25,0.0004133333333333333
-21.5,-48.2,0.00011
-21.5,-48.15,0.0015
-21.5,-48.1,0.0007199999999999999
-21.5,-48.05,0.00023666666666666663
-21.5,-48.0,0.0013
-21.5,-47.95,0.000865
-21.5,-47.9,0.000655
-21.5,-47.85,0.00028000000000000003
-21.5,-47.8,0.0001
-21.5,-47.75,0.0001
-21.5,-47.7,0.0001
-21.5,-47.65,0.00041
-21.5,-47.45,0.0002
-21.5,-47.35,0.00021500000000000002
-21.5,-47.3,0.00055
-21.5,-47.0,0.0001
-21.5,-46.9,0.0001
-21.5,-46.35,0.0001
-21.5,-46.3,0.00041
-21.45,-49.6,0.0001
-21.45,-49.45,0.0001
-21.45,-49.4,0.0001
-21.45,-49.35,0.00035
-21.45,-49.3,0.00056
-21.45,-49.25,0.00012
-21.45,-49.2,0.00093
-21.45,-49.15,0.00035
-21.45,-49.1,0.00021349999999999999
-21.45,-48.95,0.00012
-21.45,-48.85,0.00015000000000000001
-21.45,-48.8,0.0006066666666666667
-21.45,-48.75,0.00112
