YEAR  MO  DA  HR    LAT     LON Rn2200010
2018   2  23  12 -20.20  -48.00  0.30E-10
2018   2  23  12 -20.15  -48.00  0.23E-09
2018   2  23  12 -20.10  -48.00  0.95E-10
2018   2  23  12 -20.20  -47.95  0.25E-10
2018   2  23  12 -20.15  -47.95  0.77E-10
2018   2  23  12 -20.10  -47.95  0.41E-09
2018   2  23  12 -20.05  -47.95  0.43E-09
2018   2  23  12 -20.25  -47.90  0.25E-10
2018   2  23  12 -20.20  -47.90  0.36E-10
2018   2  23  12 -20.15  -47.90  0.41E-10
2018   2  23  12 -20.10  -47.90  0.18E-09
2018   2  23  12 -20.05  -47.90  0.64E-09
2018   2  23  12 -20.00  -47.90  0.12E-08
2018   2  23  12 -20.20  -47.85  0.40E-10
2018   2  23  12 -20.15  -47.85  0.78E-10
2018   2  23  12 -20.10  -47.85  0.53E-10
2018   2  23  12 -20.05  -47.85  0.20E-09
2018   2  23  12 -20.00  -47.85  0.20E-08
2018   2  23  12 -20.20  -47.80  0.22E-11
2018   2  23  12 -20.15  -47.80  0.43E-10
2018   2  23  12 -20.10  -47.80  0.94E-10
2018   2  23  12 -20.05  -47.80  0.50E-09
2018   2  23  12 -20.00  -47.80  0.67E-09
2018   2  23  12 -20.10  -47.75  0.77E-10
2018   2  23  12 -20.05  -47.75  0.53E-09
2018   2  23  12 -20.10  -47.70  0.14E-10
2018   2  23  12 -20.05  -47.70  0.45E-10
2018   2  24   0 -20.15  -48.40  0.24E-11
2018   2  24   0 -20.10  -48.40  0.12E-11
2018   2  24   0 -20.25  -48.35  0.96E-11
2018   2  24   0 -20.20  -48.35  0.19E-10
2018   2  24   0 -20.15  -48.35  0.19E-10
2018   2  24   0 -20.10  -48.35  0.24E-11
2018   2  24   0 -20.30  -48.30  0.36E-11
2018   2  24   0 -20.25  -48.30  0.28E-10
2018   2  24   0 -20.20  -48.30  0.65E-10
2018   2  24   0 -20.15  -48.30  0.40E-10
2018   2  24   0 -20.10  -48.30  0.72E-11
2018   2  24   0 -20.35  -48.25  0.49E-11
2018   2  24   0 -20.30  -48.25  0.31E-10
2018   2  24   0 -20.25  -48.25  0.13E-09
2018   2  24   0 -20.20  -48.25  0.63E-10
2018   2  24   0 -20.15  -48.25  0.20E-10
2018   2  24   0 -20.10  -48.25  0.97E-11
2018   2  24   0 -20.05  -48.25  0.12E-11
2018   2  24   0 -20.35  -48.20  0.30E-10
2018   2  24   0 -20.30  -48.20  0.28E-09
2018   2  24   0 -20.25  -48.20  0.13E-09
2018   2  24   0 -20.20  -48.20  0.32E-10
2018   2  24   0 -20.15  -48.20  0.21E-10
2018   2  24   0 -20.10  -48.20  0.11E-10
2018   2  24   0 -20.05  -48.20  0.12E-10
