YEAR  MO  DA  HR    LAT     LON Rn2200010
2021   3  12  12 -20.15  -47.90  0.26E-10
2021   3  12  12 -20.10  -47.90  0.89E-10
2021   3  12  12 -20.05  -47.90  0.17E-09
2021   3  12  12 -20.00  -47.90  0.40E-09
2021   3  12  12 -20.30  -47.85  0.11E-11
2021   3  12  12 -20.25  -47.85  0.20E-10
2021   3  12  12 -20.20  -47.85  0.52E-10
2021   3  12  12 -20.15  -47.85  0.62E-10
2021   3  12  12 -20.10  -47.85  0.15E-09
2021   3  12  12 -20.05  -47.85  0.11E-08
2021   3  12  12 -20.00  -47.85  0.13E-08
2021   3  12  12 -20.40  -47.80  0.76E-12
2021   3  12  12 -20.35  -47.80  0.14E-10
2021   3  12  12 -20.30  -47.80  0.40E-10
2021   3  12  12 -20.25  -47.80  0.51E-10
2021   3  12  12 -20.20  -47.80  0.70E-10
2021   3  12  12 -20.15  -47.80  0.29E-09
2021   3  12  12 -20.10  -47.80  0.70E-09
2021   3  12  12 -20.05  -47.80  0.12E-09
2021   3  12  12 -20.50  -47.75  0.11E-11
2021   3  12  12 -20.45  -47.75  0.11E-10
2021   3  12  12 -20.40  -47.75  0.35E-10
2021   3  12  12 -20.35  -47.75  0.49E-10
2021   3  12  12 -20.30  -47.75  0.44E-10
2021   3  12  12 -20.25  -47.75  0.99E-10
2021   3  12  12 -20.20  -47.75  0.34E-09
2021   3  12  12 -20.15  -47.75  0.22E-09
2021   3  12  12 -20.60  -47.70  0.99E-11
2021   3  12  12 -20.55  -47.70  0.35E-10
2021   3  12  12 -20.50  -47.70  0.44E-10
2021   3  12  12 -20.45  -47.70  0.46E-10
2021   3  12  12 -20.40  -47.70  0.47E-10
2021   3  12  12 -20.35  -47.70  0.75E-10
2021   3  12  12 -20.30  -47.70  0.25E-09
2021   3  12  12 -20.25  -47.70  0.24E-09
2021   3  12  12 -20.20  -47.70  0.30E-10
2021   3  12  12 -20.60  -47.65  0.55E-11
2021   3  12  12 -20.55  -47.65  0.33E-10
2021   3  12  12 -20.50  -47.65  0.53E-10
2021   3  12  12 -20.45  -47.65  0.84E-10
2021   3  12  12 -20.40  -47.65  0.89E-10
2021   3  12  12 -20.35  -47.65  0.14E-09
2021   3  12  12 -20.30  -47.65  0.14E-10
2021   3  12  12 -20.55  -47.60  0.25E-11
2021   3  12  12 -20.50  -47.60  0.51E-11
2021   3  12  12 -20.45  -47.60  0.64E-11
2021   3  12  12 -20.40  -47.60  0.13E-11
2021   3  13   0 -20.00  -47.90  0.14E-09
2021   3  13   0 -20.10  -47.85  0.86E-10
2021   3  13   0 -20.05  -47.85  0.38E-09
2021   3  13   0 -20.00  -47.85  0.63E-09
2021   3  13   0 -19.95  -47.85  0.73E-09
2021   3  13   0 -19.90  -47.85  0.19E-09
2021   3  13   0 -20.20  -47.80  0.39E-10
2021   3  13   0 -20.15  -47.80  0.12E-09
2021   3  13   0 -20.10  -47.80  0.14E-09
2021   3  13   0 -20.05  -47.80  0.80E-10
2021   3  13   0 -20.00  -47.80  0.13E-09
2021   3  13   0 -19.95  -47.80  0.29E-09
2021   3  13   0 -19.90  -47.80  0.20E-09
2021   3  13   0 -19.85  -47.80  0.21E-09
2021   3  13   0 -19.80  -47.80  0.18E-10
2021   3  13   0 -20.25  -47.75  0.54E-10
2021   3  13   0 -20.20  -47.75  0.93E-10
2021   3  13   0 -20.15  -47.75  0.56E-10
2021   3  13   0 -20.10  -47.75  0.48E-10
2021   3  13   0 -20.05  -47.75  0.27E-10
2021   3  13   0 -20.00  -47.75  0.30E-10
2021   3  13   0 -19.95  -47.75  0.13E-09
2021   3  13   0 -19.90  -47.75  0.58E-10
2021   3  13   0 -19.85  -47.75  0.11E-09
2021   3  13   0 -19.80  -47.75  0.18E-09
2021   3  13   0 -19.75  -47.75  0.13E-11
2021   3  13   0 -20.60  -47.70  0.11E-10
2021   3  13   0 -20.55  -47.70  0.22E-11
2021   3  13   0 -20.35  -47.70  0.28E-10
2021   3  13   0 -20.30  -47.70  0.12E-09
2021   3  13   0 -20.25  -47.70  0.28E-10
2021   3  13   0 -20.20  -47.70  0.56E-10
2021   3  13   0 -20.15  -47.70  0.32E-10
2021   3  13   0 -20.10  -47.70  0.14E-10
2021   3  13   0 -20.05  -47.70  0.18E-10
2021   3  13   0 -20.00  -47.70  0.22E-10
2021   3  13   0 -19.95  -47.70  0.10E-09
2021   3  13   0 -19.90  -47.70  0.59E-10
2021   3  13   0 -19.85  -47.70  0.47E-10
2021   3  13   0 -19.80  -47.70  0.12E-09
2021   3  13   0 -19.75  -47.70  0.68E-10
2021   3  13   0 -20.65  -47.65  0.22E-11
2021   3  13   0 -20.60  -47.65  0.56E-10
2021   3  13   0 -20.55  -47.65  0.39E-10
2021   3  13   0 -20.50  -47.65  0.32E-10
2021   3  13   0 -20.45  -47.65  0.35E-10
2021   3  13   0 -20.40  -47.65  0.88E-10
2021   3  13   0 -20.35  -47.65  0.55E-10
2021   3  13   0 -20.30  -47.65  0.43E-10
2021   3  13   0 -20.25  -47.65  0.26E-10
2021   3  13   0 -20.20  -47.65  0.15E-10
2021   3  13   0 -20.15  -47.65  0.16E-10
2021   3  13   0 -20.10  -47.65  0.19E-10
2021   3  13   0 -20.05  -47.65  0.11E-10
2021   3  13   0 -20.00  -47.65  0.22E-10
2021   3  13   0 -19.95  -47.65  0.58E-10
2021   3  13   0 -19.90  -47.65  0.37E-10
2021   3  13   0 -19.85  -47.65  0.31E-10
2021   3  13   0 -19.80  -47.65  0.86E-10
2021   3  13   0 -19.75  -47.65  0.11E-09
2021   3  13   0 -20.65  -47.60  0.22E-11
2021   3  13   0 -20.60  -47.60  0.19E-10
2021   3  13   0 -20.55  -47.60  0.23E-10
2021   3  13   0 -20.50  -47.60  0.35E-10
2021   3  13   0 -20.45  -47.60  0.44E-10
2021   3  13   0 -20.40  -47.60  0.27E-10
2021   3  13   0 -20.35  -47.60  0.28E-10
2021   3  13   0 -20.30  -47.60  0.30E-10
2021   3  13   0 -20.25  -47.60  0.16E-10
2021   3  13   0 -20.20  -47.60  0.12E-10
2021   3  13   0 -20.15  -47.60  0.12E-11
2021   3  13   0 -20.10  -47.60  0.99E-11
2021   3  13   0 -20.05  -47.60  0.17E-10
2021   3  13   0 -20.00  -47.60  0.74E-11
2021   3  13   0 -19.95  -47.60  0.28E-10
2021   3  13   0 -19.90  -47.60  0.23E-10
2021   3  13   0 -19.85  -47.60  0.35E-10
2021   3  13   0 -19.80  -47.60  0.49E-10
2021   3  13   0 -19.75  -47.60  0.12E-09
2021   3  13   0 -20.60  -47.55  0.21E-10
2021   3  13   0 -20.55  -47.55  0.15E-10
2021   3  13   0 -20.50  -47.55  0.20E-10
2021   3  13   0 -20.45  -47.55  0.22E-10
2021   3  13   0 -20.40  -47.55  0.30E-10
