YEAR  MO  DA  HR    LAT     LON Rn2200100
2007  10  11  12  39.95  -90.00  0.74E-11
2007  10  11  12  40.00  -90.00  0.57E-10
2007  10  11  12  39.90  -89.95  0.56E-10
2007  10  11  12  39.95  -89.95  0.13E-09
2007  10  11  12  39.80  -89.90  0.16E-10
2007  10  11  12  39.85  -89.90  0.87E-10
2007  10  11  12  39.90  -89.90  0.78E-10
2007  10  11  12  39.70  -89.85  0.53E-11
2007  10  11  12  39.75  -89.85  0.32E-10
2007  10  11  12  39.80  -89.85  0.86E-10
2007  10  11  12  39.85  -89.85  0.49E-10
2007  10  11  12  39.60  -89.80  0.49E-12
2007  10  11  12  39.65  -89.80  0.13E-10
2007  10  11  12  39.70  -89.80  0.35E-10
2007  10  11  12  39.75  -89.80  0.85E-10
2007  10  11  12  39.80  -89.80  0.32E-10
2007  10  11  12  39.55  -89.75  0.21E-11
2007  10  11  12  39.60  -89.75  0.22E-10
2007  10  11  12  39.65  -89.75  0.40E-10
2007  10  11  12  39.70  -89.75  0.84E-10
2007  10  11  12  39.75  -89.75  0.13E-10
2007  10  11  12  39.45  -89.70  0.54E-13
2007  10  11  12  39.50  -89.70  0.93E-11
2007  10  11  12  39.55  -89.70  0.26E-10
2007  10  11  12  39.60  -89.70  0.48E-10
2007  10  11  12  39.65  -89.70  0.71E-10
2007  10  11  12  39.70  -89.70  0.22E-11
2007  10  11  12  39.35  -89.65  0.54E-13
2007  10  11  12  39.40  -89.65  0.15E-11
2007  10  11  12  39.45  -89.65  0.13E-10
2007  10  11  12  39.50  -89.65  0.27E-10
2007  10  11  12  39.55  -89.65  0.59E-10
2007  10  11  12  39.60  -89.65  0.46E-10
2007  10  11  12  39.65  -89.65  0.53E-13
2007  10  11  12  39.30  -89.60  0.16E-12
2007  10  11  12  39.35  -89.60  0.35E-11
2007  10  11  12  39.40  -89.60  0.19E-10
2007  10  11  12  39.45  -89.60  0.31E-10
2007  10  11  12  39.50  -89.60  0.65E-10
2007  10  11  12  39.55  -89.60  0.27E-10
2007  10  11  12  39.20  -89.55  0.54E-13
2007  10  11  12  39.25  -89.55  0.96E-12
2007  10  11  12  39.30  -89.55  0.73E-11
2007  10  11  12  39.35  -89.55  0.23E-10
2007  10  11  12  39.40  -89.55  0.40E-10
2007  10  11  12  39.45  -89.55  0.59E-10
2007  10  11  12  39.50  -89.55  0.95E-11
2007  10  11  12  39.10  -89.50  0.11E-12
2007  10  11  12  39.15  -89.50  0.32E-12
2007  10  11  12  39.20  -89.50  0.24E-11
2007  10  11  12  39.25  -89.50  0.12E-10
2007  10  11  12  39.30  -89.50  0.28E-10
2007  10  11  12  39.35  -89.50  0.51E-10
2007  10  11  12  39.40  -89.50  0.39E-10
2007  10  11  12  39.45  -89.50  0.96E-12
2007  10  11  12  39.00  -89.45  0.54E-13
2007  10  11  12  39.05  -89.45  0.32E-12
2007  10  11  12  39.10  -89.45  0.12E-11
2007  10  11  12  39.15  -89.45  0.49E-11
2007  10  11  12  39.20  -89.45  0.16E-10
2007  10  11  12  39.25  -89.45  0.36E-10
2007  10  11  12  39.30  -89.45  0.51E-10
2007  10  11  12  39.35  -89.45  0.19E-10
2007  10  11  12  39.40  -89.45  0.77E-13
2007  10  11  12  38.85  -89.40  0.52E-13
2007  10  11  12  38.90  -89.40  0.21E-12
2007  10  11  12  38.95  -89.40  0.58E-12
2007  10  11  12  39.00  -89.40  0.79E-12
2007  10  11  12  39.05  -89.40  0.25E-11
2007  10  11  12  39.10  -89.40  0.77E-11
2007  10  11  12  39.15  -89.40  0.24E-10
2007  10  11  12  39.20  -89.40  0.44E-10
2007  10  11  12  39.25  -89.40  0.36E-10
2007  10  11  12  39.30  -89.40  0.59E-11
2007  10  11  12  38.70  -89.35  0.52E-13
2007  10  11  12  38.75  -89.35  0.16E-12
2007  10  11  12  38.80  -89.35  0.37E-12
2007  10  11  12  38.85  -89.35  0.47E-12
2007  10  11  12  38.90  -89.35  0.12E-11
2007  10  11  12  38.95  -89.35  0.19E-11
2007  10  11  12  39.00  -89.35  0.44E-11
2007  10  11  12  39.05  -89.35  0.12E-10
2007  10  11  12  39.10  -89.35  0.34E-10
2007  10  11  12  39.15  -89.35  0.42E-10
2007  10  11  12  39.20  -89.35  0.19E-10
2007  10  11  12  39.25  -89.35  0.48E-12
2007  10  11  12  38.65  -89.30  0.52E-13
2007  10  11  12  38.70  -89.30  0.26E-12
2007  10  11  12  38.75  -89.30  0.68E-12
2007  10  11  12  38.80  -89.30  0.11E-11
2007  10  11  12  38.85  -89.30  0.18E-11
2007  10  11  12  38.90  -89.30  0.27E-11
2007  10  11  12  38.95  -89.30  0.65E-11
2007  10  11  12  39.00  -89.30  0.19E-10
2007  10  11  12  39.05  -89.30  0.37E-10
2007  10  11  12  39.10  -89.30  0.29E-10
2007  10  11  12  39.15  -89.30  0.52E-11
2007  10  11  12  38.60  -89.25  0.16E-12
2007  10  11  12  38.65  -89.25  0.52E-12
2007  10  11  12  38.70  -89.25  0.10E-11
2007  10  11  12  38.75  -89.25  0.14E-11
2007  10  11  12  38.80  -89.25  0.26E-11
2007  10  11  12  38.85  -89.25  0.44E-11
2007  10  11  12  38.90  -89.25  0.11E-10
2007  10  11  12  38.95  -89.25  0.28E-10
2007  10  11  12  39.00  -89.25  0.34E-10
2007  10  11  12  39.05  -89.25  0.12E-10
2007  10  11  12  39.10  -89.25  0.39E-12
2007  10  11  12  38.50  -89.20  0.52E-13
2007  10  11  12  38.55  -89.20  0.47E-12
2007  10  11  12  38.60  -89.20  0.11E-11
2007  10  11  12  38.65  -89.20  0.12E-11
2007  10  11  12  38.70  -89.20  0.24E-11
2007  10  11  12  38.75  -89.20  0.35E-11
2007  10  11  12  38.80  -89.20  0.74E-11
2007  10  11  12  38.85  -89.20  0.16E-10
2007  10  11  12  38.90  -89.20  0.29E-10
2007  10  11  12  38.95  -89.20  0.19E-10
2007  10  11  12  39.00  -89.20  0.21E-11
2007  10  11  12  38.40  -89.15  0.48E-13
2007  10  11  12  38.45  -89.15  0.46E-12
2007  10  11  12  38.50  -89.15  0.88E-12
2007  10  11  12  38.55  -89.15  0.13E-11
2007  10  11  12  38.60  -89.15  0.23E-11
2007  10  11  12  38.65  -89.15  0.29E-11
2007  10  11  12  38.70  -89.15  0.47E-11
2007  10  11  12  38.75  -89.15  0.11E-10
2007  10  11  12  38.80  -89.15  0.20E-10
2007  10  11  12  38.85  -89.15  0.22E-10
2007  10  11  12  38.90  -89.15  0.57E-11
2007  10  11  12  38.95  -89.15  0.48E-13
2007  10  11  12  38.30  -89.10  0.95E-13
2007  10  11  12  38.35  -89.10  0.24E-12
2007  10  11  12  38.40  -89.10  0.71E-12
2007  10  11  12  38.45  -89.10  0.11E-11
2007  10  11  12  38.50  -89.10  0.17E-11
2007  10  11  12  38.55  -89.10  0.21E-11
2007  10  11  12  38.60  -89.10  0.28E-11
2007  10  11  12  38.65  -89.10  0.69E-11
2007  10  11  12  38.70  -89.10  0.13E-10
2007  10  11  12  38.75  -89.10  0.19E-10
2007  10  11  12  38.80  -89.10  0.10E-10
2007  10  11  12  38.85  -89.10  0.43E-12
2007  10  11  12  38.20  -89.05  0.19E-12
2007  10  11  12  38.25  -89.05  0.19E-12
2007  10  11  12  38.30  -89.05  0.33E-12
2007  10  11  12  38.35  -89.05  0.83E-12
2007  10  11  12  38.40  -89.05  0.12E-11
2007  10  11  12  38.45  -89.05  0.14E-11
2007  10  11  12  38.50  -89.05  0.21E-11
2007  10  11  12  38.55  -89.05  0.44E-11
2007  10  11  12  38.60  -89.05  0.82E-11
2007  10  11  12  38.65  -89.05  0.14E-10
2007  10  11  12  38.70  -89.05  0.11E-10
2007  10  11  12  38.75  -89.05  0.22E-11
2007  10  11  12  38.15  -89.00  0.48E-13
2007  10  11  12  38.20  -89.00  0.95E-13
2007  10  11  12  38.25  -89.00  0.57E-12
2007  10  11  12  38.30  -89.00  0.62E-12
2007  10  11  12  38.35  -89.00  0.57E-12
2007  10  11  12  38.40  -89.00  0.14E-11
2007  10  11  12  38.45  -89.00  0.29E-11
2007  10  11  12  38.50  -89.00  0.44E-11
2007  10  11  12  38.55  -89.00  0.81E-11
2007  10  11  12  38.60  -89.00  0.11E-10
2007  10  11  12  38.65  -89.00  0.37E-11
2007  10  11  12  38.70  -89.00  0.48E-13
2007  10  11  12  38.20  -88.95  0.95E-13
2007  10  11  12  38.25  -88.95  0.95E-13
2007  10  11  12  38.30  -88.95  0.57E-12
2007  10  11  12  38.35  -88.95  0.13E-11
2007  10  11  12  38.40  -88.95  0.21E-11
2007  10  11  12  38.45  -88.95  0.35E-11
2007  10  11  12  38.50  -88.95  0.69E-11
2007  10  11  12  38.55  -88.95  0.45E-11
2007  10  11  12  38.60  -88.95  0.54E-12
2007  10  11  12  38.25  -88.90  0.29E-12
2007  10  11  12  38.30  -88.90  0.33E-12
2007  10  11  12  38.35  -88.90  0.10E-11
2007  10  11  12  38.40  -88.90  0.25E-11
2007  10  11  12  38.45  -88.90  0.32E-11
2007  10  11  12  38.50  -88.90  0.10E-11
2007  10  11  12  38.55  -88.90  0.48E-13
2007  10  11  12  38.30  -88.85  0.48E-13
2007  10  11  12  38.35  -88.85  0.43E-12
2007  10  11  12  38.40  -88.85  0.48E-12
2007  10  11  12  38.45  -88.85  0.48E-13
