YEAR  MO  DA  HR    LAT     LON Rn2200100
2009   8  23  12  38.15 -109.15  0.64E-10
2009   8  23  12  38.20 -109.15  0.43E-10
2009   8  23  12  38.25 -109.15  0.53E-11
2009   8  23  12  38.15 -109.10  0.10E-09
2009   8  23  12  38.20 -109.10  0.94E-10
2009   8  23  12  38.25 -109.10  0.25E-10
2009   8  23  12  38.15 -109.05  0.50E-12
2009   8  23  12  38.20 -109.05  0.12E-09
2009   8  23  12  38.25 -109.05  0.33E-10
2009   8  23  12  38.30 -109.05  0.11E-10
2009   8  23  12  38.20 -109.00  0.51E-10
2009   8  23  12  38.25 -109.00  0.68E-10
2009   8  23  12  38.30 -109.00  0.24E-10
2009   8  23  12  38.35 -109.00  0.21E-11
2009   8  23  12  38.20 -108.95  0.63E-11
2009   8  23  12  38.25 -108.95  0.80E-10
2009   8  23  12  38.30 -108.95  0.34E-10
2009   8  23  12  38.35 -108.95  0.11E-10
2009   8  23  12  38.20 -108.90  0.28E-12
2009   8  23  12  38.25 -108.90  0.34E-10
2009   8  23  12  38.30 -108.90  0.63E-10
2009   8  23  12  38.35 -108.90  0.21E-10
2009   8  23  12  38.40 -108.90  0.19E-11
2009   8  23  12  38.25 -108.85  0.77E-11
2009   8  23  12  38.30 -108.85  0.52E-10
2009   8  23  12  38.35 -108.85  0.40E-10
2009   8  23  12  38.40 -108.85  0.89E-11
2009   8  23  12  38.25 -108.80  0.11E-11
2009   8  23  12  38.30 -108.80  0.23E-10
2009   8  23  12  38.35 -108.80  0.55E-10
2009   8  23  12  38.40 -108.80  0.29E-10
2009   8  23  12  38.45 -108.80  0.47E-12
2009   8  23  12  38.25 -108.75  0.56E-13
2009   8  23  12  38.30 -108.75  0.73E-11
2009   8  23  12  38.35 -108.75  0.30E-10
2009   8  23  12  38.40 -108.75  0.42E-10
2009   8  23  12  38.45 -108.75  0.12E-10
2009   8  23  12  38.30 -108.70  0.12E-11
2009   8  23  12  38.35 -108.70  0.15E-10
2009   8  23  12  38.40 -108.70  0.34E-10
2009   8  23  12  38.45 -108.70  0.31E-10
2009   8  23  12  38.50 -108.70  0.77E-11
2009   8  23  12  38.55 -108.70  0.68E-12
2009   8  23  12  38.30 -108.65  0.11E-12
2009   8  23  12  38.35 -108.65  0.42E-11
2009   8  23  12  38.40 -108.65  0.21E-10
2009   8  23  12  38.45 -108.65  0.33E-10
2009   8  23  12  38.50 -108.65  0.17E-10
2009   8  23  12  38.55 -108.65  0.61E-11
2009   8  23  12  38.60 -108.65  0.16E-11
2009   8  23  12  38.35 -108.60  0.16E-11
2009   8  23  12  38.40 -108.60  0.84E-11
2009   8  23  12  38.45 -108.60  0.25E-10
2009   8  23  12  38.50 -108.60  0.30E-10
2009   8  23  12  38.55 -108.60  0.13E-10
2009   8  23  12  38.60 -108.60  0.57E-11
2009   8  23  12  38.65 -108.60  0.94E-12
2009   8  23  12  38.40 -108.55  0.32E-11
2009   8  23  12  38.45 -108.55  0.13E-10
2009   8  23  12  38.50 -108.55  0.24E-10
2009   8  23  12  38.55 -108.55  0.19E-10
2009   8  23  12  38.60 -108.55  0.12E-10
2009   8  23  12  38.65 -108.55  0.30E-11
